tissue,name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Liver,(−)-trans-Methyl dihydrojasmonate,-0.020886320044671263,0.04062359869206399,0.011536579010521271,-0.0093437101339103,-0.016007697808135782,0.03168935314241744,-0.03105771250842711,-8.906676925788535e-4,0.0030337625080419446,0.02750325301379638,-0.03975302452761396,-0.04983159335516286,0.0019461061074072374,-0.048330158847543624,-0.003557301138183214,-0.04400564121856619,0.0032457926263697026
Liver,.alpha.-Aminoadipic acid,0.011502128491112923,-0.04116257083548243,0.028128502053948682,0.04730431218526573,0.035862381778712114,0.0190698948646745,-0.003131127473193046,0.0023559578658393842,0.025410772467191756,-0.02250044961272919,-0.01047925271871812,-0.023710225143505848,0.03361394545810363,0.012414332574101142,-0.006908469331150897,-0.022675585563842447,-0.016773249718600766
Liver,"1,1,6-Trimethyl-1,2-dihydronaphthalene",-0.03140155839258921,0.03368612407022834,-0.0020750179829639335,-0.005318546797141225,7.492290957289209e-4,0.036745725669581515,-0.027689378814441352,0.01700146938030365,0.0039055245751306177,0.06248320141824288,-0.04604659170630555,-0.012876508008335555,-0.004228715594089948,5.852452993699583e-4,-0.026613344143455963,-0.01268580197368606,0.011665531000191595
Liver,"1,1′-MONOGLYCERIDE CITRATE",0.013239397302533977,0.0025682967235065145,-0.008793865728082021,-0.003935855395091782,-0.012966662963753053,-0.027921392599963256,0.055668431389884934,0.06419678245424017,-0.02131543876793659,-0.01653236313920613,-0.07573585085879396,0.005201729676415469,-0.01947690027113512,-0.01106574116209686,0.032927445174906284,0.008760880009181933,0.005782418871943017
Liver,"1,2,3-Propanetricarboxylic acid",0.032393942403008906,-0.008178446777336524,0.032858048228107714,-0.0284679653443164,0.013881603878452078,-0.012457997610762552,0.028387043750588512,0.020652078962731957,-0.016341147521246262,-0.01922484555044424,-0.011878066678306529,-0.05998630910124927,-0.006370163365778099,0.040151686349073526,0.02669193495887189,-0.030785008106255746,0.02049616815005966
Liver,"1,2,3-Trihydroxybenzene",-0.013853028376675292,-0.02354919124211616,0.0024368991724083053,0.02231594619200217,0.0013730863382579697,-0.016480947687570323,0.010667091900771636,0.019747796186944794,0.056090116594006645,0.01799844668908719,0.010651224025318167,-0.03172295622824949,-0.10145550893611083,1.8452264478182755e-4,-0.017254125360280672,0.0307728413896592,-0.011759614945870365
Liver,"1,2-Benzisothiazol-3(2H)-one",0.03599032893974176,-0.008267856083219938,0.028170612229124793,-0.015013380132187847,-0.015824184644489522,-0.05203919873643814,0.03174022902139605,0.034158436354773405,6.306028836836223e-4,-0.008333218044768748,-0.001393526873943045,-0.02964106373677202,0.0046784172903133955,0.03410509265002382,-0.008680508150737535,-0.019863432494750786,-0.0017506193366036915
Liver,"1,2-DIPHENYLCYCLOBUTANE",-0.04575452786541002,-0.007824478416858016,-0.01208985560697348,-0.020849970364234676,0.027310352454095677,-0.020296217285122764,-0.005842759846668564,-0.011137912611789575,-0.04016417667525604,-0.009843784130852953,0.013016890082913466,-0.02239920892910385,-0.021865659295385437,0.005994066497106741,-0.03921187958142601,0.007086260052288353,0.004583476847691694
Liver,"1,2-Diarachidonoyl-sn-glycero-3-PC",-0.018412493469026625,-0.008193595787942293,-0.03298324263589572,0.004796094067152815,0.03557824256971912,-0.05701522292263242,-0.01653344887340807,-0.020492321149047643,-0.06437020199577394,0.026345215174874842,0.006894138728639648,-0.01934688286831241,-0.021395535078144772,-0.0025008320211603132,-0.0017062891186062563,0.01764312420558365,-0.0014555389926840033
Liver,"1,2-Didecanoyl-sn-glycero-3-phosphocholine",0.04574052054409813,-0.014603207348220806,-0.03442948518396676,0.006877601349938269,-3.30781986769497e-4,0.03416801551036601,-0.006321883004410489,0.010701607365928205,-0.011894986868134316,0.0017712264668801742,-0.03377891207033716,0.020919581947142822,-0.00909219990667306,-0.011684246211430136,0.0033877749468276034,-0.0016761360048519768,-0.003721281969942574
Liver,"1,2-Dioleoyl-sn-glycerol",0.00794055441464286,0.00926854345928522,0.03415858761344862,-0.021984105966046653,-0.015111296875114874,-0.0364492487878695,-0.06171337978984096,0.003925415790549857,0.028409952539615452,-0.06601110234439195,-0.010107672468952904,0.0020341217750825917,0.032934898941171506,0.0015356432325829119,-0.01964812419367844,0.024537216510495206,0.01647469673762252
Liver,"1,2-dioleoyl-sn-glycero-3-phospho-(1′-sn-glycerol)",0.02408222506064903,0.005578799800263883,0.022987426654742325,0.028367484577653142,-9.891268858494761e-4,-0.04640177323665787,0.010418509673678689,0.023985855171694364,-0.047737113422397545,0.02613431114534648,0.04281933597471662,0.02159372965501865,0.005877143785994367,0.05537537197228612,-0.03264553949065873,0.021361597181171997,1.8954329771328645e-4
