tissue,sample.clean,group,diet,cohort,animal,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Liver,1M7,Old ID,ID,1,7,-10.686728765850281,5.093681652533855,-0.8367838001574213,3.667504434535387,-0.7874767028255415,-3.8963297310843847,4.626288235547373,10.596176182875878,3.075456457445463,-1.774605881730665,5.238064900865572,3.7491121603597755,5.2618795074452045,1.7811506784586066,-19.434055478085103,-0.6311469848256076,1.1185838703425984e-14
Liver,1M9,Old ID,ID,1,9,-19.366265718437568,-12.868792109954724,1.1798947995292188,0.8220737726069836,0.46144116236228616,-2.281625288110457,3.375149184077382,-2.7715446378866324,3.9398292531108647,-18.900699421759626,3.8136334137794563,-1.476262535638622,4.036445428943771,-10.24135523937792,4.726219587159481,-6.861331958328546,1.0393308487386312e-14
Liver,2M22,Old ID,ID,2,22,15.61668799572992,4.693428007244534,-5.3042565759456854,-1.2836028998872815,-3.8060065560949443,-8.28084422557755,14.944760012684151,15.59204195130941,-4.837035699091656,-3.3739131220863303,-14.188725327305146,1.0460483026863867,-3.2568884374734504,-1.7521327257275836,4.725322266590167,1.1780334958962806,3.0412819734631266e-15
Liver,2M23,Old ID,ID,2,23,16.633068708445915,-5.1907405217850755,15.633788647828771,-14.049911798761475,-8.621278222414947,-2.8783382335521246,9.743517490924637,-2.8759879390310674,-7.129555571843535,2.7764721801038603,11.192980181549908,-12.841233900234004,-3.179841517854672,3.3827770619729898,-1.0100169825490166,-3.0549533640667947,-2.135639904138483e-15
Liver,2M26,Old ID,ID,2,26,18.28635679260933,-15.172193665016533,7.552558149783079,20.168237025792624,-3.8931059176662592,9.03666136909509,-11.176961219153744,5.6911105317900175,-9.13946442258096,0.32016419507515326,-1.591355944629255,-6.071553661812196,7.698408148962381,-4.2021067765183275,-0.4706039468205877,5.084473188231738,2.1005604771420553e-14
Liver,2M31,Old ID,ID,2,31,14.109441435406563,-6.704477142488871,7.70700487341763,-10.377927065321204,-8.274433057659216,-13.3418292358921,-17.852055583830605,-5.713083661814508,5.250575875626827,-6.083291219024036,-8.96613486246094,3.5105303870607893,-0.6164037871472645,7.057512800927795,-2.8553962453762045,-0.7287931850974683,1.3308491360706732e-14
Liver,2M33,Old ID,ID,2,33,21.472320526882086,2.9316746991009643,11.29683031796424,0.35428483149755985,31.258433013052624,-0.8705240743943525,2.4418749092123866,-1.3849793667782904,9.264345318971106,2.3406881090754514,-1.3437192473310116,-2.01996421733008,2.963811555238736,0.22365243178932956,0.7022289463058332,-1.1927769163375843,1.3601664744823007e-14
Muscle,1M1,Old CD,CD,1,1,-7.796009834813438,0.6393884278936336,5.6179060864462755,-7.006460952762086,9.624535211568357,0.9599317696555876,14.168431174793346,3.4724427010278913,0.9264199060912419,5.820260795117337,6.136888332386013,10.06596724829315,2.6408730753425305,-7.082024226950977,3.844323370619741,-0.5914804851689063,8.588568235379049e-15
Muscle,1M2,Old CD,CD,1,2,-11.382883308285859,-3.0656594836437985,27.148210699515825,19.93620843061607,-5.919576110231991,4.775466140477203,-0.7909391308963974,-0.08768102632676099,3.255699177734967,0.8445307755689541,0.8937347421673579,-2.8572788167861596,-1.2987150008272714,-0.29386035444716946,1.6044046678554635,2.113845516195057,1.117619349384642e-14
Muscle,1M4,Old CD,CD,1,4,-8.598227673200977,-3.7188646608060125,0.04200084399974405,-2.371914497243409,5.380513944720166,-3.7947682474029167,5.197949502531156,-3.836530362041659,-0.2936790950335925,1.4724213154805246,-7.182835488063631,2.677561310263625,-5.630926338702715,1.209706031516537,-13.061256751228298,6.713937818702297,6.237466687994054e-15
