tissue,name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
Liver,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",0.04042504695208474,-0.0166445394926554,0.013284380279987056,-0.04035133287431365,-0.0355052146291433,0.012557800208793006,-0.03994951193045427,0.005294608805916431,-0.019982288744268474,-0.030123114916082664,0.006446998297094025,-0.009487047399978268,0.0015809440529765068,-0.008916186728019767,0.015004996456546467,0.025541821643211834,0.011737627557327688,-0.0045419684638578406,0.013241001342804568,0.019736101743462593,0.006462422777314619,0.01998039504589772
Liver,"(2S)-1-Hydroxy-3-[(9Z)-9-tetradecenoyloxy]-2-propanyl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoate",-0.02053969228503226,0.032345659826580185,-0.023024241570844938,0.0072339169021500985,-0.015930329536484326,-0.009806255415698833,0.04914741611861111,0.04932380151580997,-0.014927960928762862,0.015195727459022295,0.02040172086109311,0.03386660233770371,0.01560756546501578,0.033159032332914146,0.0061423990592450895,0.001131305123947363,-3.8964234744226576e-4,-0.024413935726674822,-0.007890857074386089,-0.05716485514342312,-0.0650487402440207,0.012000704532696067
Liver,"(2S)-3-Hydroxy-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)butanoic acid (non-preferred name)",-0.017320873464660266,-0.04595468775280347,0.04908981823710326,-0.005682382916879119,0.013588695103380484,-0.040932474944632,0.009412128277022922,-0.007929984973628842,-0.024101066397725912,0.001892016783481843,0.016505226290567557,-0.009105517460614223,-0.007873496564085078,0.0051013494593004334,-0.013710378260865595,-0.008818405407898617,-0.029637116271048456,-0.013447059044180296,-0.023060512411074898,0.015225921782644557,0.01261410562780965,1.9589467344879874e-4
Liver,"(2S,3R,5S)-3-(2-Aminoethyl)-7-oxo-4-oxa-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",0.039894354264707665,-0.02495405173224987,-0.0071669632170139694,0.04462903313302745,0.0036747431921532216,0.031489115328126184,-0.00626025252913124,0.021013192618129912,0.001300700806800423,-0.014124664441336332,-0.026516491566668375,0.04648515911665749,0.004696301083089543,-0.015282391701559017,-0.007011099560965142,-0.011653805775614373,0.014902819928594158,0.006195457383876049,-0.004940806939104629,-0.01624242232370006,-0.003620142519311511,0.011193311868250882
Liver,"(2Z,4E,6E,8E,10E,12E,14Z)-15-(6-Hydroxy-4,4,7a-trimethyl-2,4,5,6,7,7a-hexahydro-1-benzofuran-2-yl)-2,6,11-trimethyl-2,4,6,8,10,12,14-hexadecaheptaenal",0.030186418740125603,0.0029288963776518437,0.015314489058165424,0.03432117897424994,4.814217353205416e-4,-0.060738325545852095,0.013235458510470696,0.05914214194663087,0.013959370091218587,-0.014506903322195387,0.04187456499146717,-0.024653899251998204,0.005956012713779748,0.0019132930034757808,-0.018069381243023753,0.015472051860998938,-0.014732442017908496,-0.011810408451816778,-0.004017062047806853,-0.011573801125860327,0.0027146315919633953,-0.008875571799432838
Liver,"(3s,6R,7S)-6,7-Dihydroxy-8-methyl-8-azabicyclo[3.2.1]oct-3-yl (2E)-2-methyl-2-butenoate",-0.013289315864836029,-0.03352728969268518,-0.0012634215949456845,0.027047348862653295,0.059370446023759724,0.013484278560948243,-0.01117871765351716,0.0031138510814291602,-0.028356178171819475,-0.014432128257786796,-2.495723883918521e-4,-0.044075342197488765,0.023233887568576462,0.06447277026521175,0.01623311992500888,-0.008860731747359116,0.006260073986797267,-0.016361893718937762,-0.037129948344885165,0.0351071794603545,-0.0019450872662454177,0.008430302255759402
Liver,"(4E)-5-[(2R,3aS,5R,5′R,6S,6″S,7aS)-2-{(S)-Hydroxy[(2R,3R,5S,6S)-2-hydroxy-3,5-dimethyl-6-{3-[(1′R,2R,2′S,3R,5S,6′S,8′R,10′R)-3,5,10′-trimethyl-8′H-spiro[piperidine-2,4′-[3,7,12]trioxatricyclo[6.3.1.0
~2,6~]dodecan]-8′-yl]-1-propen-2-yl}tetrahydro-2H-pyran-2-yl]methyl}-6-methyl-2,3,3′,3a,4′,5″,6,6″,7,7a-decahydrodispiro[furo[3,2-b]pyran-5,2′-furan-5′,2″-pyran]-6″-yl]-4-pentenoic acid",-0.02264008739846398,-0.010995377088425445,0.020405880653106893,-0.0072345159874411535,0.028180732643346557,-0.035351354098493125,-0.0010013088098985976,0.013717644026933117,-0.025560656259436966,-0.05842823016346013,-0.019406119449449123,-0.02112176362525887,0.016791433429604596,0.03265076770833105,0.005213158500574001,-0.10278899539136319,-0.006949290750994438,-0.02016501851962354,-5.535604240102558e-4,0.026143337969242474,0.022002092056769538,0.014080680515024936
Liver,"(4Z,7Z,9E,11E,13R)-13-{[(2S)-2-Amino-2-carboxyethyl]sulfanyl}-14-hydroxy-4,7,9,11-octadecatetraenedioic acid",-0.02364524489420094,0.03632580001792289,-7.241439107487161e-4,0.059756071102304534,-0.008826459678572943,-0.012018627009442236,0.011196480835266955,-0.011650107578633112,-0.0066026085742293475,0.02141096471290306,5.556798212678805e-5,-0.02355190522217945,-0.03416351385789971,0.03924787409551256,0.023691243715334043,0.016864609758083286,0.012054903883534302,-0.008421545179771296,-0.018851529983378506,-0.02714635870143733,-0.019287802591393115,0.012115026398372784
Liver,"(5Z,8Z)-Tetradecadienoylcarnitine",-0.03229462954122747,0.010358143465928232,-0.005089189473782115,-0.010154901089226934,-0.05074238232599999,-0.011900652221571398,-0.013309208608104578,-0.007686481619062581,-0.049716218755212,-0.006745025280946142,8.193327477691838e-4,-0.020489486849661866,0.020718760272452844,8.009901569539721e-4,0.010613389546091617,-0.006971640847743954,-0.04260092876661252,-0.04508579740515983,0.02370897750543179,0.0184174671880375,-0.09008317637113826,0.002191757076361533
Liver,(5α)-Androst-3-en-17-one,0.033326993680347056,0.016568032946332523,0.015303080988014126,0.012700162180830336,-0.011867882460314035,0.035485505749381495,-0.013332535975049417,0.016457337445846223,0.035906681878907346,0.016269083935944513,0.01319333178885975,-0.0431128975333974,0.047412087135187186,0.043320563351558754,-0.009626280940610504,0.025963553525370168,-0.05971498544130514,-0.043244198763249864,0.009375314254407505,0.0010353659815006118,0.013555505507387718,0.00815579367884804
