gene.id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,design,comparison,flag
Ccdc149,27.50099271,0.621184542,0.259270186,2.395896543,0.016579769,0.999946781,~cohort + diet,old ID vs CD,
Cd209g,56.92793099,0.473898865,0.272963527,1.736125224,0.082541695,0.999946781,~cohort + diet,old ID vs CD,
Vit,62.70647351,0.620341152,0.259247107,2.392856607,0.016717773,0.999946781,~cohort + diet,old ID vs CD,
Clec10a,149.3213807,0.47344965,0.30753826,1.539482112,0.123686642,0.999946781,~cohort + diet,old ID vs CD,
Abi3bp,579.2150287,0.455243401,0.190479005,2.389992537,0.016848715,0.999946781,~cohort + diet,old ID vs CD,
Nucks1,2083.974972,-0.174327118,0.072954959,-2.389517039,0.016870541,0.999946781,~cohort + diet,old ID vs CD,
Csf3r,31.99761706,1.028917071,0.43111874,2.386621077,0.017004007,0.999946781,~cohort + diet,old ID vs CD,
Ifi205,499.3850725,0.469062661,0.374757168,1.251644266,0.210699517,0.999946781,~cohort + diet,old ID vs CD,
Ces1f,104.9197874,0.468815395,0.364491463,1.286217766,0.198367072,0.999946781,~cohort + diet,old ID vs CD,
Lgr6,22.79646043,0.467765747,0.766157269,0.610534894,0.541507536,0.999946781,~cohort + diet,old ID vs CD,
Slamf7,35.50064791,0.467712009,0.470111722,0.994895442,0.31978712,0.999946781,~cohort + diet,old ID vs CD,
Ptpn6,88.76434645,0.467497417,0.399753077,1.169465462,0.242216149,0.999946781,~cohort + diet,old ID vs CD,
Coro1a,197.1998479,0.467283182,0.485738696,0.962005263,0.33604696,0.999946781,~cohort + diet,old ID vs CD,
