"contrast","direction","gene.id","baseMean","log2FoldChange","pvalue","padj"
"young CD vs old CD","Downregulated","Cmah",103.07233988264,-0.785460005943492,0.00233297096311905,0.0136025475231148
"young CD vs old CD","Downregulated","Gm7964",136.92879720679,-0.437932695542094,0.00238127272286841,0.0138241168728692
"young CD vs old CD","Downregulated","Akr1c19",21.7042684539314,-2.68301246380674,0.00244665059330412,0.0141203685335999
"young CD vs old CD","Downregulated","Gm4951",27.8001715636336,-1.07703975771514,0.00246234497006912,0.0141832223149163
"young CD vs old CD","Downregulated","Ccdc132",1171.91134987415,-0.263845365940511,0.00246981165484714,0.0142040628985229
"young CD vs old CD","Downregulated","Fam214a",916.959918108757,-0.423175328170704,0.00247785350966389,0.0142392181250167
"young CD vs old CD","Downregulated","1110058L19Rik",371.338200296755,-0.520019320377884,0.00253756827315983,0.0145207334921652
"young CD vs old CD","Downregulated","Gm561",384.466293658307,-0.49010412980126,0.00257947183154184,0.0147029894397885
"young CD vs old CD","Downregulated","Zfp809",127.473389885687,-0.416177793290319,0.00259539115384519,0.0147538542950391
"young CD vs old CD","Downregulated","RP23-75P5.3",13.5704996133178,-7.2893075429156,0.00265534701644094,0.0150120637403401
"young CD vs old CD","Downregulated","Murc",4819.92887525146,-0.289939285666895,0.00270062188983185,0.0151594224180942
"young CD vs old CD","Downregulated","4632427E13Rik",55.50626894458,-0.847009176140837,0.00276057850356314,0.0154080984680918
"young CD vs old CD","Downregulated","Zfp719",185.452675825415,-0.366239976287904,0.00278404767133382,0.0155214863186938
"young CD vs old CD","Downregulated","1810008I18Rik",8.99609403401556,-3.2716370524028,0.0028132036255528,0.0156544761115854
"young CD vs old CD","Downregulated","Igkv6-20",6.89168618978548,-6.31131485245741,0.00285388354741212,0.01583310139438
"young CD vs old CD","Downregulated","Igkv3-10",18.1932024571209,-7.71224167967817,0.00290215381091015,0.0159927199367176
"young CD vs old CD","Downregulated","Ly6c1",1125.96729245262,-0.521343092628938,0.00290905548839318,0.0160247709608763
"young CD vs old CD","Downregulated","Gpr128",15.2015139553052,-5.84810664442655,0.00298078045261552,0.0163466797258406
"young CD vs old CD","Downregulated","Gm15446",283.717877561435,-0.483609886369099,0.00298833676720425,0.0163516737191388
"young CD vs old CD","Downregulated","Zfp429",52.4413449028224,-0.588781050371978,0.00301692170231951,0.01647145528526
"young CD vs old CD","Downregulated","2810417H13Rik",15.7839751487075,-1.77768774177353,0.00316133873661497,0.0170705353945307
"young CD vs old CD","Downregulated","Zufsp",210.21077675643,-0.326398602107954,0.00316868537592482,0.0171039496178348
"young CD vs old CD","Downregulated","Acnat2",7.81271368775947,-6.49273582117462,0.00319896948708464,0.0172248351502614
"young CD vs old CD","Downregulated","Zfp748",124.142304896861,-0.546403489801713,0.00330935891782121,0.0177143095372714
"young CD vs old CD","Downregulated","A530054K11Rik",227.98198587137,-0.344685072239398,0.00332843028084455,0.0177970359420891
"young CD vs old CD","Downregulated","Wbp5",602.88867308793,-0.401681676036497,0.00344864856057908,0.0183402012607453
"young CD vs old CD","Downregulated","BC048679",73.0478557817319,-1.25301703780742,0.00347721309973872,0.0184522275310721
"young CD vs old CD","Downregulated","Gm11967",8.36141516357337,-1.40469058741423,0.00348650518111263,0.0184816071772947
"young CD vs old CD","Downregulated","Mpc1-ps",118.849134258135,-0.452957325038348,0.00428474035367824,0.0215668673172015
"young CD vs old CD","Downregulated","Casc5",7.55212889111413,-1.84316992555756,0.00438042062069919,0.0219139781848126
"young CD vs old CD","Downregulated","March1",34.2118023209316,-1.10653474693764,0.00456242950385055,0.0225948160903541
"young CD vs old CD","Downregulated","Gm14446",13.7773842337573,-2.17039541980699,0.00461554801849867,0.0227721590123455
"young CD vs old CD","Downregulated","B230307C23Rik",139.111272557775,-0.398147097895261,0.00465984128317786,0.0229310789545183
"young CD vs old CD","Downregulated","Rpl3-ps1",19.3447391379763,-0.886076845149378,0.00506463214671468,0.0243230853552208
"young CD vs old CD","Downregulated","2010107E04Rik",2664.46549633803,-0.544294409401147,0.00507956265816235,0.0243710053696622
"young CD vs old CD","Downregulated","Gpr56",441.464782293732,-0.357213802559972,0.0051873372121419,0.0247881489631056
"young CD vs old CD","Downregulated","Dopey1",537.846646051434,-0.292370055011071,0.00523192694227548,0.0249721750561956
"young CD vs old CD","Downregulated","Gm16299",30.3169989532994,-0.823648112095826,0.00528650107309308,0.0251838061768548
"young CD vs old CD","Downregulated","Wfdc17",26.7261126845627,-1.41172116324904,0.00537377961913265,0.0255172430097315
"young CD vs old CD","Downregulated","Ccdc53",405.763177791497,-0.394722549952446,0.00552863126936619,0.0260431344702147
"young CD vs old CD","Downregulated","Fopnl",1961.17140832093,-0.318941246026316,0.00564821677425969,0.0265218270478358
