"gene_id","VIP_component_1","VIP_component_2","VIP_max_component_1_2","VIP_mean_component_1_2"
"2310008N11Rik",1.88056848859567,1.4562317837349,1.88056848859567,1.66840013616528
"Nudt4",1.88046680761532,1.56127434706818,1.88046680761532,1.72087057734175
"Rnls",1.88033146586288,1.52751370760401,1.88033146586288,1.70392258673345
"Tubb5",1.8798588090201,1.57416289697167,1.8798588090201,1.72701085299589
"Serinc3",1.87954229920827,1.43087186142347,1.87954229920827,1.65520708031587
"Lonp2",1.87935521694338,1.47633421125151,1.87935521694338,1.67784471409745
"Mpzl3",1.87827388299475,1.54171041841561,1.87827388299475,1.70999215070518
"Aen",1.87710359195406,1.41717615314363,1.87710359195406,1.64713987254884
"Cacna1e",1.8764641775599,1.42487636572346,1.8764641775599,1.65067027164168
"Slc39a2",1.87536254141951,1.4230991158926,1.87536254141951,1.64923082865606
"Gcdh",1.87481120660579,1.41539361983303,1.87481120660579,1.64510241321941
"Rab3a",0.897054147987498,1.87480970894407,1.87480970894407,1.38593192846578
"Cab39l",0.978461913472868,1.8745485669439,1.8745485669439,1.42650524020838
"Cpn1",1.87452010951665,1.47566387090194,1.87452010951665,1.6750919902093
"Pfkfb1",1.87398639847399,1.40977064113389,1.87398639847399,1.64187851980394
"Tmem110",1.87391039116575,1.5043921104724,1.87391039116575,1.68915125081907
"Jak3",0.287390188830456,1.87372481497601,1.87372481497601,1.08055750190324
"Sspn",1.87361483104678,1.47192294360621,1.87361483104678,1.6727688873265
"Cd55",1.87360787096141,1.42577184405489,1.87360787096141,1.64968985750815
"Exoc7",1.87340821415331,1.51948445853694,1.87340821415331,1.69644633634513
"Rpl3",1.87232011181511,1.48876065125988,1.87232011181511,1.68054038153749
"Pphln1",0.0396267522781173,1.87218604789645,1.87218604789645,0.955906400087286
"Srsf6",1.87177421041436,1.40799053774508,1.87177421041436,1.63988237407972
"Tmem176b",1.871194579897,1.43497608316993,1.871194579897,1.65308533153347
"Glcci1",0.224831150474084,1.87105456257406,1.87105456257406,1.04794285652407
"Abhd8",1.87091639354646,1.429728201199,1.87091639354646,1.65032229737273
"Rnf103",0.239779270347072,1.8700836570759,1.8700836570759,1.05493146371149
"Taok2",1.8698637296255,1.48874561742685,1.8698637296255,1.67930467352617
"Msi2",1.53404129741896,1.86900978494509,1.86900978494509,1.70152554118203
"Chrnb1",1.8688525660259,1.40949181563252,1.8688525660259,1.63917219082921
"Sdr39u1",1.86765746227692,1.40622048063608,1.86765746227692,1.6369389714565
"Cxcl13",1.86745309436882,1.5538502513639,1.86745309436882,1.71065167286636
"Pdzd7",1.86699640647241,1.47672545815402,1.86699640647241,1.67186093231321
"Uts2b",1.86633916317891,1.41355094095341,1.86633916317891,1.63994505206616
"Myf6",1.86598120130303,1.40442673879042,1.86598120130303,1.63520397004672
"Pcdhb18",0.0103262312974012,1.86568520539795,1.86568520539795,0.938005718347673
"Sertad4",1.86533721179502,1.66456321740586,1.86533721179502,1.76495021460044
"Ago4",1.86493560415079,1.43389299896136,1.86493560415079,1.64941430155608
"Zfp523",1.86479186224317,1.42928881076345,1.86479186224317,1.64704033650331
