metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone
pv,SAC,CD,nega,(R)-2-Benzylsuccinate,C11H12O4,207.06824,4.683,Amylin,43,6,2M20;3M4;3M6;3M26;3M37;5M10,,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,nega,(R)-2-Benzylsuccinate,C11H12O4,207.06824,4.683,C-Peptide 2,43,3,3M14;5M2;5M10,,3M14;5M2;5M10
pv,SAC,CD,nega,(R)-2-Benzylsuccinate,C11H12O4,207.06824,4.683,GIP,42,2,3M7;3M38,,3M7;3M38
pv,SAC,CD,nega,(R)-2-Benzylsuccinate,C11H12O4,207.06824,4.683,GLP-1,43,1,3M6,,3M6
pv,SAC,CD,nega,(R)-2-Benzylsuccinate,C11H12O4,207.06824,4.683,Ghrelin,2,0,,,
pv,SAC,CD,nega,(R)-2-Benzylsuccinate,C11H12O4,207.06824,4.683,Glucagon,43,5,3M14;3M15;3M37;4M3;5M10,,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,nega,(R)-2-Benzylsuccinate,C11H12O4,207.06824,4.683,Insulin,43,6,3M6;3M14;3M21;3M37;5M2;5M10,,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,nega,(R)-2-Benzylsuccinate,C11H12O4,207.06824,4.683,Leptin,43,1,3M6,,3M6
pv,SAC,CD,nega,(R)-2-Benzylsuccinate,C11H12O4,207.06824,4.683,PP,13,2,3M4;3M6,,3M4;3M6
pv,SAC,CD,nega,(R)-2-Benzylsuccinate,C11H12O4,207.06824,4.683,PYY,43,1,3M38,,3M38
pv,SAC,CD,nega,(R)-2-Benzylsuccinate,C11H12O4,207.06824,4.683,Resistin,43,0,,,
pv,SAC,CD,nega,(R)-2-Benzylsuccinate,C11H12O4,207.06824,4.683,Secretin,43,2,3M34;3M40,,3M34;3M40
pv,SAC,CD,nega,(R)-Lipoic acid,C8H14O2S2,205.03666,14.432,Amylin,43,9,2M20;3M4;3M6;3M26;3M37;3M40;4M1;4M4;5M10,3M4;3M40;4M1;4M4;5M10,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,nega,(R)-Lipoic acid,C8H14O2S2,205.03666,14.432,C-Peptide 2,43,7,3M4;3M14;3M40;4M1;4M4;5M2;5M10,3M4;3M40;4M1;4M4;5M10,3M14;5M2;5M10
pv,SAC,CD,nega,(R)-Lipoic acid,C8H14O2S2,205.03666,14.432,GIP,42,5,3M4;3M7;3M38;3M40;5M10,3M4;3M40;5M10,3M7;3M38
pv,SAC,CD,nega,(R)-Lipoic acid,C8H14O2S2,205.03666,14.432,GLP-1,43,6,3M4;3M6;3M40;4M1;4M4;5M10,3M4;3M40;4M1;4M4;5M10,3M6
pv,SAC,CD,nega,(R)-Lipoic acid,C8H14O2S2,205.03666,14.432,Ghrelin,2,0,,,
pv,SAC,CD,nega,(R)-Lipoic acid,C8H14O2S2,205.03666,14.432,Glucagon,43,9,3M4;3M14;3M15;3M37;3M40;4M1;4M3;4M4;5M10,3M4;3M40;4M1;4M4;5M10,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,nega,(R)-Lipoic acid,C8H14O2S2,205.03666,14.432,Insulin,43,10,3M4;3M6;3M14;3M21;3M37;3M40;4M1;4M4;5M2;5M10,3M4;3M40;4M1;4M4;5M10,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,nega,(R)-Lipoic acid,C8H14O2S2,205.03666,14.432,Leptin,43,6,3M4;3M6;3M40;4M1;4M4;5M10,3M4;3M40;4M1;4M4;5M10,3M6
pv,SAC,CD,nega,(R)-Lipoic acid,C8H14O2S2,205.03666,14.432,PP,13,3,3M4;3M6;5M10,3M4;5M10,3M4;3M6
pv,SAC,CD,nega,(R)-Lipoic acid,C8H14O2S2,205.03666,14.432,PYY,43,6,3M4;3M38;3M40;4M1;4M4;5M10,3M4;3M40;4M1;4M4;5M10,3M38
