correlation_method,metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_med_adj_ic,n_raw_ion_count_fallback,n_cd,n_id,n_young,n_old,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,pv,SAC,CD,nega,1-Methylguanosine,C11H16N5O5,297.11041,13.84,Insulin,37,37,43,6,3M6;3M14;3M21;3M37;5M2;5M10,,3M6;3M14;3M21;3M37;5M2;5M10,37,0,21,16,12,25,-0.3688522689916416,0.024671562544422456,0.5021706932549667,24139.6568650495,2016342.71502165,112.79,4792.38
pearson,pv,SAC,CD,posi,bisphenol A,C15H16O2,211.1117,2.073,Insulin,32,32,43,11,2M16;2M17;2M20;3M4;3M6;3M7;3M14;3M21;3M37;5M2;5M10,2M16;2M17;2M20;3M4;3M7,3M6;3M14;3M21;3M37;5M2;5M10,32,0,16,16,12,20,-0.39644156882072096,0.0246828129260242,0.5021706932549667,14928.1222614559,2626669.64709244,112.79,4792.38
pearson,sys_sac,SAC,CD,posi,6-Keto-decanoylcarnitine,C17H31NO5,330.22729,8.497,Secretin,35,35,38,3,2M20;3M34;3M40,2M20,3M34;3M40,35,0,20,15,10,25,0.3791530195616738,0.024688065368643663,0.5021706932549667,18213.4437985593,245886.736927678,6.73,93.64
pearson,tp4,GTT,CD,nega,Indolepyruvate,C11H9NO3,202.05106,2.515,Amylin,28,28,34,6,3M3;3M5;3M6;3M12;3M17;3M19,3M12;3M19,3M3;3M5;3M6;3M17,0,28,13,15,0,28,0.42360101590584937,0.02468829359726437,0.5021706932549667,119174.890578554,4045028.99380008,1.81,22.9
pearson,tp4,GTT,CD,nega,"1-Methyl-3,6-(1H,2H)-pyridazinedione",C5H6N2O2,125.03564,16.631,Amylin,30,30,34,4,3M3;3M5;3M6;3M17,,3M3;3M5;3M6;3M17,0,30,13,17,0,30,-0.4093194720595099,0.024697243859515935,0.5021706932549667,450508.467216878,173874228.454454,1.81,22.9
pearson,sys_sac,SAC,CD,posi,hesperetin 3'-O-sulfate,C16H14O9S,383.04073,8.471,Secretin,35,35,38,3,3M34;3M38;3M40,3M38,3M34;3M40,35,0,21,14,10,25,0.37910946865888007,0.024705942109103464,0.5021706932549667,18543.6957542948,266950.161627334,6.73,93.25
pearson,tp4,GTT,CD,posi,Calonectrin,C19H26O6,351.17916,3.786,Leptin,35,35,35,0,,,,0,35,16,19,0,35,0.3791087375133408,0.024706242320367774,0.5021706932549667,12972.4009651716,205651.626682136,324.41,7988.85
pearson,sys_sac,SAC,CD,posi,2-Deoxystreptidine,C8H18N6O3,510.31926,4.183,Secretin,32,32,38,6,2M20;2M26;3M27;3M33;3M34;3M40,2M20;2M26;3M27;3M33;3M40,3M34;3M40,32,0,19,13,10,22,0.3963777675591776,0.024708064195554623,0.5021706932549667,10641.9869089779,368749.464878584,6.73,93.64
pearson,sys_sac,SAC,CD,nega,Shikimate-3-phosphate,C7H11O8P,253.00943,14.673,PYY,34,34,38,4,2M17;2M22;3M4;3M38,2M17;2M22;3M4,3M38,34,0,19,15,10,24,-0.3846047568569845,0.024710084705849053,0.5021706932549667,3988.59592760331,24021.0497202788,29.88,352.53
pearson,sys_sac,SAC,CD,posi,1-stearoyl-sn-glycero-3-phospho-1D-myo-inositol,C27H53O12P,601.33499,8.446,Resistin,37,37,38,1,2M20,2M20,,37,0,20,17,10,27,-0.3687481168526662,0.024715305157717977,0.5021706932549667,7108.7955815363,124317.443771168,5122.24,58609.94
pearson,sys_sac,SAC,CD,posi,Ricinoleic Acid,C18H34O3,299.25784,3.743,Resistin,38,38,38,0,,,,38,0,21,17,10,28,-0.36385868710674124,0.024726650992288608,0.5022605310491869,32380.1055311038,448129.576678019,5122.24,58609.94
pearson,tp4,GTT,CD,posi,noxytiolin,C3H8N2OS,263.06111,12.624,C-Peptide 2,30,30,34,4,3M19;3M23;3M32;3M39,3M19;3M23;3M32;3M39,,0,30,15,15,0,30,-0.4092153257856162,0.02473744908570044,0.5023391956551979,1786520.75000167,6774263.06411212,102.01,1743.56
pearson,pv,SAC,CD,nega,Cyclopentanone,C5H8O,83.05025,4.297,Insulin,37,37,43,6,3M6;3M14;3M21;3M37;5M2;5M10,,3M6;3M14;3M21;3M37;5M2;5M10,37,0,21,16,12,25,-0.3686698817140547,0.024748205178541118,0.5023645352768802,119646.971581212,287764.674448633,112.79,4792.38
