"direction","overlap_group","gene.id"
"Upregulated","Young CD vs old CD only","1110038F14Rik"
"Upregulated","Young CD vs old CD only","1190002N15Rik"
"Upregulated","Young CD vs old CD only","1300002E11Rik"
"Upregulated","Young CD vs old CD only","1600020E01Rik"
"Upregulated","Young CD vs old CD only","1700021K19Rik"
"Upregulated","Young CD vs old CD only","1700025G04Rik"
"Upregulated","Young CD vs old CD only","1700120C14Rik"
"Upregulated","Young CD vs old CD only","1700123M08Rik"
"Upregulated","Young CD vs old CD only","1810055G02Rik"
"Upregulated","Young CD vs old CD only","2010315B03Rik"
"Upregulated","Young CD vs old CD only","2210011C24Rik"
"Upregulated","Young CD vs old CD only","2310003H01Rik"
"Upregulated","Young CD vs old CD only","2310014F06Rik"
"Upregulated","Young CD vs old CD only","2310043M15Rik"
"Upregulated","Young CD vs old CD only","2310065F04Rik"
"Upregulated","Young CD vs old CD only","2310067B10Rik"
"Upregulated","Young CD vs old CD only","2410016O06Rik"
"Upregulated","Young CD vs old CD only","2410131K14Rik"
"Upregulated","Young CD vs old CD only","2510009E07Rik"
"Upregulated","Young CD vs old CD only","2510039O18Rik"
"Upregulated","Young CD vs old CD only","2610015P09Rik"
"Upregulated","Young CD vs old CD only","2610203C20Rik"
"Upregulated","Young CD vs old CD only","2610507B11Rik"
"Upregulated","Young CD vs old CD only","2700038G22Rik"
"Upregulated","Young CD vs old CD only","2700049A03Rik"
"Upregulated","Young CD vs old CD only","2700081O15Rik"
"Upregulated","Young CD vs old CD only","2700089E24Rik"
"Upregulated","Young CD vs old CD only","2810029C07Rik"
"Upregulated","Young CD vs old CD only","2810030D12Rik"
"Upregulated","Young CD vs old CD only","2810403A07Rik"
"Upregulated","Young CD vs old CD only","2810408M09Rik"
"Upregulated","Young CD vs old CD only","2810468N07Rik"
"Upregulated","Young CD vs old CD only","2900076A07Rik"
"Upregulated","Young CD vs old CD only","3110056K07Rik"
"Upregulated","Young CD vs old CD only","3110062M04Rik"
"Upregulated","Young CD vs old CD only","3425401B19Rik"
"Upregulated","Young CD vs old CD only","4732440D04Rik"
"Upregulated","Young CD vs old CD only","4833418N02Rik"
"Upregulated","Young CD vs old CD only","4833439L19Rik"
"Upregulated","Young CD vs old CD only","4921514A10Rik"
"Upregulated","Young CD vs old CD only","4930404I05Rik"
"Upregulated","Young CD vs old CD only","4930429F24Rik"
"Upregulated","Young CD vs old CD only","4930451G09Rik"
"Upregulated","Young CD vs old CD only","4930516B21Rik"
"Upregulated","Young CD vs old CD only","4930544D05Rik"
"Upregulated","Young CD vs old CD only","4933404O12Rik"
"Upregulated","Young CD vs old CD only","5031434O11Rik"
"Upregulated","Young CD vs old CD only","5031439G07Rik"
"Upregulated","Young CD vs old CD only","5730409E04Rik"
"Upregulated","Young CD vs old CD only","5730596B20Rik"
"Upregulated","Young CD vs old CD only","6030458C11Rik"
"Upregulated","Young CD vs old CD only","6330403L08Rik"
"Upregulated","Young CD vs old CD only","6330408A02Rik"
"Upregulated","Young CD vs old CD only","6430571L13Rik"
"Upregulated","Young CD vs old CD only","8030462N17Rik"
"Upregulated","Young CD vs old CD only","8430419L09Rik"
"Upregulated","Young CD vs old CD only","9130221H12Rik"
"Upregulated","Young CD vs old CD only","9230112E08Rik"
"Upregulated","Young CD vs old CD only","9330151L19Rik"
"Upregulated","Young CD vs old CD only","9430008C03Rik"
"Upregulated","Young CD vs old CD only","9530082P21Rik"
"Upregulated","Young CD vs old CD only","9930104L06Rik"
"Upregulated","Young CD vs old CD only","A230050P20Rik"
"Upregulated","Young CD vs old CD only","A230072C01Rik"
"Upregulated","Young CD vs old CD only","A430110L20Rik"
"Upregulated","Young CD vs old CD only","A630072M18Rik"
"Upregulated","Young CD vs old CD only","A730017L22Rik"
"Upregulated","Young CD vs old CD only","A730032A03Rik"
"Upregulated","Young CD vs old CD only","A930016O22Rik"
"Upregulated","Young CD vs old CD only","A930024E05Rik"
"Upregulated","Young CD vs old CD only","A930033H14Rik"
"Upregulated","Young CD vs old CD only","AA415398"
"Upregulated","Young CD vs old CD only","AI314180"
"Upregulated","Young CD vs old CD only","AI464131"
"Upregulated","Young CD vs old CD only","AI480526"
"Upregulated","Young CD vs old CD only","AU022252"
"Upregulated","Young CD vs old CD only","AU040320"
"Upregulated","Young CD vs old CD only","Aaed1"
"Upregulated","Young CD vs old CD only","Aamp"
"Upregulated","Young CD vs old CD only","Aasdh"
"Upregulated","Young CD vs old CD only","Abca2"
"Upregulated","Young CD vs old CD only","Abcb10"
"Upregulated","Young CD vs old CD only","Abcb4"
"Upregulated","Young CD vs old CD only","Abcb6"
"Upregulated","Young CD vs old CD only","Abcc10"
"Upregulated","Young CD vs old CD only","Abcc4"
"Upregulated","Young CD vs old CD only","Abcc5"
"Upregulated","Young CD vs old CD only","Abcc9"
"Upregulated","Young CD vs old CD only","Abcd1"
"Upregulated","Young CD vs old CD only","Abhd13"
"Upregulated","Young CD vs old CD only","Abhd14b"
"Upregulated","Young CD vs old CD only","Abhd17a"
"Upregulated","Young CD vs old CD only","Abhd8"
"Upregulated","Young CD vs old CD only","Abl1"
"Upregulated","Young CD vs old CD only","Abl2"
"Upregulated","Young CD vs old CD only","Ablim2"
"Upregulated","Young CD vs old CD only","Ablim3"
"Upregulated","Young CD vs old CD only","Acaa1a"
"Upregulated","Young CD vs old CD only","Acacb"
"Upregulated","Young CD vs old CD only","Acad10"
"Upregulated","Young CD vs old CD only","Acad12"
"Upregulated","Young CD vs old CD only","Acap3"
"Upregulated","Young CD vs old CD only","Ache"
"Upregulated","Young CD vs old CD only","Acin1"
"Upregulated","Young CD vs old CD only","Aco2"
"Upregulated","Young CD vs old CD only","Acot7"
"Upregulated","Young CD vs old CD only","Acox3"
"Upregulated","Young CD vs old CD only","Acrbp"
"Upregulated","Young CD vs old CD only","Acsl3"
"Upregulated","Young CD vs old CD only","Acta1"
"Upregulated","Young CD vs old CD only","Actg1"
"Upregulated","Young CD vs old CD only","Actn3"
"Upregulated","Young CD vs old CD only","Acvr1"
"Upregulated","Young CD vs old CD only","Acvr1b"
"Upregulated","Young CD vs old CD only","Acvr2a"
"Upregulated","Young CD vs old CD only","Acvr2b"
"Upregulated","Young CD vs old CD only","Adam19"
"Upregulated","Young CD vs old CD only","Adam33"
"Upregulated","Young CD vs old CD only","Adam9"
"Upregulated","Young CD vs old CD only","Adamts2"
"Upregulated","Young CD vs old CD only","Adamts20"
"Upregulated","Young CD vs old CD only","Adamts3"
"Upregulated","Young CD vs old CD only","Adamts8"
"Upregulated","Young CD vs old CD only","Adamtsl1"
"Upregulated","Young CD vs old CD only","Adat3"
"Upregulated","Young CD vs old CD only","Adcy6"
"Upregulated","Young CD vs old CD only","Adcy9"
"Upregulated","Young CD vs old CD only","Adhfe1"
"Upregulated","Young CD vs old CD only","Adipor1"
"Upregulated","Young CD vs old CD only","Ado"
"Upregulated","Young CD vs old CD only","Adora1"
"Upregulated","Young CD vs old CD only","Adprh"
"Upregulated","Young CD vs old CD only","Adrbk1"
"Upregulated","Young CD vs old CD only","Adrbk2"
"Upregulated","Young CD vs old CD only","Adssl1"
"Upregulated","Young CD vs old CD only","Aebp1"
"Upregulated","Young CD vs old CD only","Aen"
"Upregulated","Young CD vs old CD only","Aes"
"Upregulated","Young CD vs old CD only","Aff1"
"Upregulated","Young CD vs old CD only","Afg3l1"
"Upregulated","Young CD vs old CD only","Aga"
"Upregulated","Young CD vs old CD only","Agap1"
"Upregulated","Young CD vs old CD only","Agap3"
"Upregulated","Young CD vs old CD only","Agbl5"
"Upregulated","Young CD vs old CD only","Aggf1"
"Upregulated","Young CD vs old CD only","Ago1"
"Upregulated","Young CD vs old CD only","Ago2"
"Upregulated","Young CD vs old CD only","Ago4"
"Upregulated","Young CD vs old CD only","Agpat1"
"Upregulated","Young CD vs old CD only","Agpat6"
"Upregulated","Young CD vs old CD only","Agrn"
"Upregulated","Young CD vs old CD only","Ahdc1"
"Upregulated","Young CD vs old CD only","Aip"
"Upregulated","Young CD vs old CD only","Ak1"
"Upregulated","Young CD vs old CD only","Ak3"
"Upregulated","Young CD vs old CD only","Akap1"
"Upregulated","Young CD vs old CD only","Akap13"
"Upregulated","Young CD vs old CD only","Akap5"
"Upregulated","Young CD vs old CD only","Akap8"
"Upregulated","Young CD vs old CD only","Akt1s1"
"Upregulated","Young CD vs old CD only","Aldh18a1"
"Upregulated","Young CD vs old CD only","Aldh1l2"
"Upregulated","Young CD vs old CD only","Aldh2"
"Upregulated","Young CD vs old CD only","Aldh4a1"
"Upregulated","Young CD vs old CD only","Aldh5a1"
"Upregulated","Young CD vs old CD only","Aldh6a1"
"Upregulated","Young CD vs old CD only","Aldh7a1"
"Upregulated","Young CD vs old CD only","Alg2"
"Upregulated","Young CD vs old CD only","Alg3"
"Upregulated","Young CD vs old CD only","Alkbh5"
"Upregulated","Young CD vs old CD only","Amer1"
"Upregulated","Young CD vs old CD only","Amfr"
"Upregulated","Young CD vs old CD only","Amigo1"
"Upregulated","Young CD vs old CD only","Amigo3"
"Upregulated","Young CD vs old CD only","Amotl1"
"Upregulated","Young CD vs old CD only","Ampd1"
"Upregulated","Young CD vs old CD only","Ampd2"
"Upregulated","Young CD vs old CD only","Amt"
"Upregulated","Young CD vs old CD only","Amz2"
"Upregulated","Young CD vs old CD only","Anapc5"
"Upregulated","Young CD vs old CD only","Angptl1"
"Upregulated","Young CD vs old CD only","Ank1"
"Upregulated","Young CD vs old CD only","Ankrd11"
"Upregulated","Young CD vs old CD only","Ankrd13b"
"Upregulated","Young CD vs old CD only","Ankrd13c"
"Upregulated","Young CD vs old CD only","Ankrd16"
"Upregulated","Young CD vs old CD only","Ankrd23"
"Upregulated","Young CD vs old CD only","Ankrd27"
"Upregulated","Young CD vs old CD only","Ankrd28"
"Upregulated","Young CD vs old CD only","Ankrd34a"
"Upregulated","Young CD vs old CD only","Ankrd35"
"Upregulated","Young CD vs old CD only","Ankrd39"
"Upregulated","Young CD vs old CD only","Ankrd40"
"Upregulated","Young CD vs old CD only","Ankrd44"
"Upregulated","Young CD vs old CD only","Ankrd46"
"Upregulated","Young CD vs old CD only","Ankrd52"
"Upregulated","Young CD vs old CD only","Ankzf1"
"Upregulated","Young CD vs old CD only","Ano1"
"Upregulated","Young CD vs old CD only","Ano5"
"Upregulated","Young CD vs old CD only","Ano6"
"Upregulated","Young CD vs old CD only","Ano8"
"Upregulated","Young CD vs old CD only","Anp32b"
"Upregulated","Young CD vs old CD only","Antxr2"
"Upregulated","Young CD vs old CD only","Anxa6"
"Upregulated","Young CD vs old CD only","Ap1ar"
"Upregulated","Young CD vs old CD only","Ap3s2"
"Upregulated","Young CD vs old CD only","Apba3"
"Upregulated","Young CD vs old CD only","Apbb2"
"Upregulated","Young CD vs old CD only","Apc2"
"Upregulated","Young CD vs old CD only","Aph1a"
"Upregulated","Young CD vs old CD only","Aplnr"
"Upregulated","Young CD vs old CD only","Aplp2"
"Upregulated","Young CD vs old CD only","Appl1"
"Upregulated","Young CD vs old CD only","Arel1"
"Upregulated","Young CD vs old CD only","Arfgap1"
"Upregulated","Young CD vs old CD only","Arfgef1"
"Upregulated","Young CD vs old CD only","Arfip2"
"Upregulated","Young CD vs old CD only","Arfrp1"
"Upregulated","Young CD vs old CD only","Arglu1"
"Upregulated","Young CD vs old CD only","Arhgap10"
"Upregulated","Young CD vs old CD only","Arhgap12"
"Upregulated","Young CD vs old CD only","Arhgap17"
"Upregulated","Young CD vs old CD only","Arhgap19"
"Upregulated","Young CD vs old CD only","Arhgap20"
"Upregulated","Young CD vs old CD only","Arhgap21"
"Upregulated","Young CD vs old CD only","Arhgap28"
"Upregulated","Young CD vs old CD only","Arhgef1"
"Upregulated","Young CD vs old CD only","Arhgef10l"
"Upregulated","Young CD vs old CD only","Arhgef11"
"Upregulated","Young CD vs old CD only","Arhgef12"
"Upregulated","Young CD vs old CD only","Arhgef25"
"Upregulated","Young CD vs old CD only","Arhgef40"
"Upregulated","Young CD vs old CD only","Arhgef5"
"Upregulated","Young CD vs old CD only","Arhgef6"
"Upregulated","Young CD vs old CD only","Arhgef7"
"Upregulated","Young CD vs old CD only","Arhgef9"
