"ontology","ID","Description","direction","age_NES","age_p.adjust","age_setSize","diet_NES","diet_p.adjust","diet_setSize","direction_label","best_p.adjust","worst_p.adjust"
"CC","GO:0000315","organellar large ribosomal subunit","Down",-1.65996047501631,0.0246174381847795,52,-1.89577929199268,0.00511636746766474,52,"Down in young CD and old ID",0.00511636746766474,0.0246174381847795
"CC","GO:0005762","mitochondrial large ribosomal subunit","Down",-1.65996047501631,0.0246174381847795,52,-1.89577929199268,0.00511636746766474,52,"Down in young CD and old ID",0.00511636746766474,0.0246174381847795
"CC","GO:0140534","endoplasmic reticulum protein-containing complex","Down",-1.54687673952553,0.0246174381847795,123,-1.78654107052781,0.0036830837041406,125,"Down in young CD and old ID",0.0036830837041406,0.0246174381847795
"CC","GO:0098798","mitochondrial protein-containing complex","Down",-1.47721569691827,0.0246174381847795,164,-2.3179265846976,7.28241218027882e-09,164,"Down in young CD and old ID",7.28241218027882e-09,0.0246174381847795
"CC","GO:0030672","synaptic vesicle membrane","Down",-1.51236633185896,0.0369848415379449,120,-1.78461751107022,0.0034823297278191,121,"Down in young CD and old ID",0.0034823297278191,0.0369848415379449
"CC","GO:0099501","exocytic vesicle membrane","Down",-1.51236633185896,0.0369848415379449,120,-1.78461751107022,0.0034823297278191,121,"Down in young CD and old ID",0.0034823297278191,0.0369848415379449
"CC","GO:0044391","ribosomal subunit","Down",-2.84900450695923,8.24385978586948e-22,174,-1.52249453041303,0.0375569418339276,174,"Down in young CD and old ID",8.24385978586948e-22,0.0375569418339276
"CC","GO:0034362","low-density lipoprotein particle","Down",-1.81839566824773,0.0391339661433607,13,-1.85445862551016,0.0269019831943318,13,"Down in young CD and old ID",0.0269019831943318,0.0391339661433607
"CC","GO:0005798","Golgi-associated vesicle","Down",-1.5273849898326,0.0391339661433607,84,-1.64361092732733,0.03654803049892,84,"Down in young CD and old ID",0.03654803049892,0.0391339661433607
"CC","GO:0030133","transport vesicle","Down",-1.37627561214667,0.0411144668119476,337,-1.45603063852319,0.0188102300525107,336,"Down in young CD and old ID",0.0188102300525107,0.0411144668119476
"CC","GO:0030665","clathrin-coated vesicle membrane","Down",-1.61427218624478,0.0415003081227432,61,-1.74654960621136,0.00743865633198054,61,"Down in young CD and old ID",0.00743865633198054,0.0415003081227432
"CC","GO:0008540","proteasome regulatory particle, base subcomplex","Down",-2.05730518768876,0.00242562167785974,12,-1.68831717162149,0.0472818150125811,12,"Down in young CD and old ID",0.00242562167785974,0.0472818150125811
"CC","GO:0070069","cytochrome complex","Down",-1.61916882758892,0.0555257840856948,34,-1.77877312453481,0.0275392312820039,35,"Down in young CD and old ID",0.0275392312820039,0.0555257840856948
"CC","GO:0005840","ribosome","Down",-2.78587870162867,8.24385978586948e-22,220,-1.40616213508244,0.0639278687108079,220,"Down in young CD and old ID",8.24385978586948e-22,0.0639278687108079
"CC","GO:0030135","coated vesicle","Down",-1.40981705943324,0.06666695533765,219,-1.66519694239735,0.00291036552142261,220,"Down in young CD and old ID",0.00291036552142261,0.06666695533765
"CC","GO:0005777","peroxisome","Down",-1.43327375678185,0.0701895806071713,131,-1.54305503421585,0.0302397282678386,132,"Down in young CD and old ID",0.0302397282678386,0.0701895806071713
"CC","GO:0042579","microbody","Down",-1.43327375678185,0.0701895806071713,131,-1.54305503421585,0.0302397282678386,132,"Down in young CD and old ID",0.0302397282678386,0.0701895806071713
"CC","GO:0000421","autophagosome membrane","Down",-1.62153030736759,0.0633953008197103,47,-1.62790814492564,0.0748495648493309,48,"Down in young CD and old ID",0.0633953008197103,0.0748495648493309
"CC","GO:0030660","Golgi-associated vesicle membrane","Down",-1.5083546492864,0.091428518873727,41,-1.85768083849191,0.0133576812982398,42,"Down in young CD and old ID",0.0133576812982398,0.091428518873727
"CC","GO:0005581","collagen trimer","Up",1.72518555205773,0.0125293630157418,66,2.33865560849892,6.3050600828584e-06,66,"Up in young CD and old ID",6.3050600828584e-06,0.0125293630157418
"CC","GO:0098644","complex of collagen trimers","Up",2.16364774122109,0.00160047108800723,18,1.8138761982045,0.031020066745213,18,"Up in young CD and old ID",0.00160047108800723,0.031020066745213
"CC","GO:0005583","fibrillar collagen trimer","Up",1.91609229421303,0.0142290865513402,10,1.77385547491683,0.0661065150379457,10,"Up in young CD and old ID",0.0142290865513402,0.0661065150379457
"CC","GO:0098643","fibrillar collagen","Up",1.91609229421303,0.0142290865513402,10,1.77385547491683,0.0661065150379457,10,"Up in young CD and old ID",0.0142290865513402,0.0661065150379457
