Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
Voigt_2019_retina_2_White blood cell 1	Adult	Sensory system	Voigt_2019_retina_2	White blood cell 1	Leukocyte	CL:0000738	Retina	UBERON:0000966	0.999999687570639	0.805220232689768	0.832472324723247	0.938449469635012	0.0275891067927498	NA
AdultJeJunum_Macrophage	Adult	Digestive system	AdultJeJunum	Macrophage	Macrophage	CL:0000235	Jejunum	UBERON:0002115	0.999999884518282	0.794351118187769	0.846494464944649	0.939282309330286	0.0272038571934861	NA
Braga_2020_lung_T cell	Adult	Respiratory system	Braga_2020_lung	T cell	T cell	CL:0000084	Lung	UBERON:0002048	0.999999944793377	0.787105041853103	0.856088560885609	0.939843513102034	0.0269444517767437	NA
AdultTrachea_B cell (Plasmocyte)	Adult	Respiratory system	AdultTrachea	B cell (Plasmocyte)	B cell	CL:0000236	Trachea	UBERON:0003126	0.999999899676763	0.795545073947458	0.847232472324723	0.939914547500701	0.0269116285661107	NA
Madissoon_2020_spleen_B_Hypermutation	Adult	Lymphatic system	Madissoon_2020_spleen	B_Hypermutation	B cell	CL:0000236	Spleen	UBERON:0002106	0.999999816225777	0.801226656528049	0.841328413284133	0.939947338517133	0.0268964774982586	NA
Fetal_HCA_Heart_Myeloid cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Myeloid cells	Myeloid cell	CL:0000763	Heart	UBERON:0000948	0.999999872490771	0.797891814578572	0.845018450184502	0.940001967429351	0.0268712374185816	NA
AdultAdrenalGland_Macrophage	Adult	Endocrine system	AdultAdrenalGland	Macrophage	Macrophage	CL:0000235	Adrenal gland	UBERON:0002369	0.999999902960396	0.795380390394398	0.847970479704797	0.940090929990004	0.026830137375845	NA
FetalSpinalCord_Fetal neuron	Fetal	Nervous system	FetalSpinalCord	Fetal neuron	Neuron	CL:0000540	Spinal cord	UBERON:0002240	0.999999939739702	0.789822320478603	0.854243542435424	0.940186010278757	0.0267862152876738	NA
FetalSpinalCord_Antigen presenting cell (RPS high)	Fetal	Nervous system	FetalSpinalCord	Antigen presenting cell (RPS high)	Professional antigen presenting cell	CL:0000145	Spinal cord	UBERON:0002240	0.999999939739702	0.789822320478603	0.854243542435424	0.940186010278757	0.0267862152876738	NA
AdultFallopiantube_Macrophage	Adult	Reproductive system	AdultFallopiantube	Macrophage	Macrophage	CL:0000235	Fallopian tube	UBERON:0003889	0.999999936420215	0.791180959791353	0.853136531365314	0.940298000422437	0.0267344874333464	NA
Fetal_HCA_Muscle_Myeloid cells	Fetal	Muscular system	Fetal_HCA_Muscle	Myeloid cells	Myeloid cell	CL:0000763	Muscle organ	UBERON:0001630	0.999999946864038	0.787187383629633	0.857564575645756	0.940328904401127	0.026720214078668	NA
AdultLiver_B cell	Adult	Digestive system	AdultLiver	B cell	B cell	CL:0000236	Liver	UBERON:0002107	0.999999952838658	0.78644630764086	0.859778597785978	0.940762477409676	0.0265200128866682	NA
Fetal_HCA_Kidney_Lymphoid cells	Fetal	Urinary system	Fetal_HCA_Kidney	Lymphoid cells	Innate lymphoid cell	CL:0001065	Kidney	UBERON:0002113	0.999999805259631	0.805137890913238	0.840590405904059	0.94100538510852	0.0264078912207529	NA
FetalSkin_Erythroid progenitor cell (RP high)	Fetal	Integumentary system	FetalSkin	Erythroid progenitor cell (RP high)	Erythroid progenitor cell	CL:0000038	Skin of body	UBERON:0002097	0.999999945075102	0.792416086439307	0.856826568265683	0.941849824239358	0.0260183389305991	NA
CordBlood_Monocyte	Neonatal	Reproductive system	CordBlood	Monocyte	Monocyte	CL:0000576	Umbilical cord blood	UBERON:0012168	0.999999996384659	0.765860863508286	0.887453874538745	0.942121667274665	0.025893008020308	NA
CordBlood_Antigen presenting cell (RPS high)	Neonatal	Reproductive system	CordBlood	Antigen presenting cell (RPS high)	Professional antigen presenting cell	CL:0000145	Umbilical cord blood	UBERON:0012168	0.999999996384659	0.765860863508286	0.887453874538745	0.942121667274665	0.025893008020308	NA
Voigt_2019_retina_1_Macrophage	Adult	Sensory system	Voigt_2019_retina_1	Macrophage	Macrophage	CL:0000235	Retina	UBERON:0000966	0.999999912496085	0.800979631198458	0.848708487084871	0.942172634554926	0.0258695140166814	NA
Fetal_HCA_Heart_SATB2_LRRC7 positive cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	SATB2_LRRC7 positive cells	Neuron	CL:0000540	Heart	UBERON:0000948	0.999999933337129	0.797891814578572	0.85239852398524	0.94229745168011	0.0258119833727198	NA
AdultBoneMarrow_Neutrophil (RPS high)	Adult	Lymphatic system	AdultBoneMarrow	Neutrophil (RPS high)	Neutrophil	CL:0000775	Bone marrow	UBERON:0002371	0.999999974209784	0.787063870964838	0.864944649446495	0.942545736144882	0.0256975668798116	NA
FetalAdrenalGland_Monocyte	Fetal	Endocrine system	FetalAdrenalGland	Monocyte	Monocyte	CL:0000576	Adrenal gland	UBERON:0002369	0.999999929650931	0.800403238762746	0.851660516605166	0.942893197810303	0.0255374973247006	NA
NeonatalAdrenalGland_Macrophage	Neonatal	Endocrine system	NeonatalAdrenalGland	Macrophage	Macrophage	CL:0000235	Adrenal gland	UBERON:0002369	0.999999977715601	0.787310896294429	0.866420664206642	0.943073370242157	0.0254545182364084	NA
AdultTrachea_Basal cell	Adult	Respiratory system	AdultTrachea	Basal cell	Basal cell	CL:0000646	Trachea	UBERON:0003126	0.999999948176614	0.795545073947458	0.85830258302583	0.943331602324204	0.0253356161230076	NA
AdultProstate_Basal cell	Adult	Reproductive system	AdultProstate	Basal cell	Basal cell	CL:0000646	Prostate gland	UBERON:0002367	0.99999999610299	0.771418933424081	0.886346863468635	0.943684405044841	0.025173221870961	NA
TS_Large_Intestine_mature enterocyte	Adult	Digestive system	TS_Large_Intestine	mature enterocyte	Enterocyte	CL:0000584	Large intestine	UBERON:0000059	0.999999876465103	0.808925612633631	0.845756457564576	0.94383988962096	0.0251016719642677	NA
AdultPancreas_Fetal endocrine cell	Adult	Digestive system	AdultPancreas	Fetal endocrine cell	Endocrine cell	CL:0000163	Pancreas	UBERON:0001264	0.999999985831891	0.784675959445459	0.872324723247232	0.943968169227883	0.0250426499410785	NA
AdultMuscle_Macrophage	Adult	Muscular system	AdultMuscle	Macrophage	Macrophage	CL:0000235	Muscle organ	UBERON:0001630	0.99999998256082	0.788010801394936	0.869372693726937	0.944188860666863	0.0249411275856056	NA
Madissoon_2020_lung_B_cell_naive	Adult	Respiratory system	Madissoon_2020_lung	B_cell_naive	B cell	CL:0000236	Lung	UBERON:0002048	0.999999928601718	0.806455359337722	0.850553505535055	0.944512977895584	0.0247920703628814	NA
Madissoon_2020_lung_Basal	Adult	Respiratory system	Madissoon_2020_lung	Basal	Basal cell	CL:0000646	Lung	UBERON:0002048	0.999999928601718	0.806455359337722	0.850553505535055	0.944512977895584	0.0247920703628814	NA
FetalLiver_Neutrophil	Fetal	Digestive system	FetalLiver	Neutrophil	Neutrophil	CL:0000775	Liver	UBERON:0002107	0.999999994559627	0.779035547753134	0.881180811808118	0.944715482839633	0.0246989669802855	NA
AdultSpleen_T cell	Adult	Lymphatic system	AdultSpleen	T cell	T cell	CL:0000084	Spleen	UBERON:0002106	0.999999990645349	0.783687858127096	0.877490774907749	0.945168743111547	0.024490648993364	NA
Madissoon_2020_spleen_NK_dividing	Adult	Lymphatic system	Madissoon_2020_spleen	NK_dividing	Natural killer cell	CL:0000623	Spleen	UBERON:0002106	0.999999949616432	0.801226656528049	0.859040590405904	0.945395888615521	0.0243862907103576	NA
FetalEyes_Fetal epithelial progenitor	Fetal	Sensory system	FetalEyes	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Eye	UBERON:0000970	0.999999983737203	0.791098618014822	0.870110701107011	0.945417235809668	0.0243764843804747	NA
CordBloodCD34P_Erythroid progenitor cell (RP high)	Neonatal	Reproductive system	CordBloodCD34P	Erythroid progenitor cell (RP high)	Erythroid progenitor cell	CL:0000038	Umbilical cord blood	UBERON:0012168	0.999999995773927	0.778170959099566	0.884870848708487	0.945505864955479	0.0243357728899079	NA
AdultPeripheralBlood_Monocyte	Adult	Lymphatic system	AdultPeripheralBlood	Monocyte	Monocyte	CL:0000576	Blood	UBERON:0000178	0.999999998419651	0.770595515658778	0.894833948339483	0.945868683646178	0.0241691531610433	NA
AdultPeripheralBlood_Dendritic cell	Adult	Lymphatic system	AdultPeripheralBlood	Dendritic cell	Dendritic cell	CL:0000451	Blood	UBERON:0000178	0.999999998419651	0.770595515658778	0.894833948339483	0.945868683646178	0.0241691531610433	NA
AdultThyroid_T cell	Adult	Endocrine system	AdultThyroid	T cell	T cell	CL:0000084	Thyroid gland	UBERON:0002046	0.99999998156253	0.793857067528587	0.868634686346863	0.945874912169251	0.024166293351493	NA
AdultPleura_Macrophage	Adult	Respiratory system	AdultPleura	Macrophage	Macrophage	CL:0000235	Pleura	UBERON:0000977	0.999999978549306	0.795750928388784	0.867158671586716	0.946049641525795	0.02408607451249	NA
AdultCervix_Macrophage	Adult	Reproductive system	AdultCervix	Macrophage	Macrophage	CL:0000235	Uterine cervix	UBERON:0000002	0.999999975701532	0.797727131025511	0.865682656826568	0.946248373685005	0.0239948539121986	NA
