correlation_method,metabolite_tissue,metabolite,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_cd,n_id,n_old_cd,n_old_id,correlation,p_value,p_adj_bh,old_diet_stratifying,all_diet_stratifying,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,all_diet_metabolite_cohens_d,all_diet_hormone_cohens_d,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,Muscle,PC(18:1(9Z)/15:0),GLP-1,11,11,13,2,2M22;2M33,2M22,2M33,8,3,3,3,0.7262808016918482,0.011371554114541497,0.7718346777285694,TRUE,TRUE,0.6691907803579955,1.2550142910591473,0.9235501614080553,1.9787992967400518,2112525.6160245,4907289.55692633,52.35,354.34
pearson,Muscle,Estrane,Resistin,12,12,13,1,2M26,2M26,,8,4,3,4,0.698768789094671,0.011463696734633223,0.7718346777285694,TRUE,TRUE,-1.9785531718348104,0.2484074736337295,-1.385635846493351,-0.3894153523436154,29045.5937020626,479166.064978402,7458,50393.88
pearson,Muscle,2'-Deoxyguanosine 5'-monophosphate,GIP,12,12,12,0,,,,8,4,3,4,-0.6950668426199802,0.01210112833425374,0.7718346777285694,TRUE,TRUE,1.7184742552711147,-0.44889601269907653,1.6122290143565492,-1.169512315049918,661979.824970184,175122191.619961,33.18,1104.9
pearson,Muscle,Tiformin,GLP-1,12,12,13,1,2M33,,2M33,8,4,3,4,-0.6892464196269373,0.013155950186458333,0.7718346777285694,TRUE,TRUE,-1.235174344763184,0.7707687524700032,-2.0374154046626893,1.277845624706336,360067.708574422,7342480.5867925,52.35,354.34
pearson,Liver,pro-met,GLP-1,12,12,13,1,2M33,,2M33,8,4,3,4,0.6872068688672176,0.01354117932237948,0.7718346777285694,TRUE,TRUE,1.4216361713094703,0.7707687524700032,2.275549204627938,1.277845624706336,9003.22479142422,100415.982173896,52.35,354.34
pearson,Muscle,Octyl hydrogen phthalate,GLP-1,12,12,13,1,2M33,,2M33,8,4,3,4,-0.6867911219609589,0.013620716841132297,0.7718346777285694,TRUE,TRUE,-1.3648982831059606,0.7707687524700032,-1.6880514735584675,1.277845624706336,3474491.42002431,11653425.6551243,52.35,354.34
pearson,Liver,5-Aminopentanoic acid,Insulin,13,13,13,0,,,,8,5,3,5,-0.6624155642926463,0.013624758394246953,0.7718346777285694,TRUE,FALSE,1.323991913123965,-0.7833395778180952,0.10193109931561509,-0.015669237473629045,98546127.9817347,487706162.838637,155.89,2555.98
pearson,Liver,Gly-Leu,GLP-1,12,12,13,1,2M33,,2M33,8,4,3,4,0.6866088786524803,0.013655690830420602,0.7718346777285694,TRUE,TRUE,1.5251573084381622,0.7707687524700032,2.419846466788753,1.277845624706336,645161.297144888,2961345.84480331,52.35,354.34
pearson,Liver,Linoleyl ethanolamide,Resistin,10,10,13,3,2M22;2M26;4M2,2M22;2M26;4M2,,7,3,3,3,-0.7400826946977325,0.014388889070343549,0.7718346777285694,TRUE,FALSE,-1.1036561986473175,0.7691688886287478,-0.46343431100759885,-0.3536822722177932,5491.65837372457,25703.8139899121,14530.03,50393.88
pearson,Liver,Citronellyl propionate,GIP,11,11,12,1,2M26,2M26,,8,3,3,3,-0.7070588723986035,0.014966225234486593,0.7718346777285694,TRUE,TRUE,1.4392787234467195,-0.4510528398139309,2.167780248127213,-1.1549310405074908,115794.877929983,621504.799887423,33.18,1104.9
