correlation_method,metabolite_tissue,metabolite,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_cd,n_id,n_old_cd,n_old_id,correlation,p_value,p_adj_bh,old_diet_stratifying,all_diet_stratifying,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,all_diet_metabolite_cohens_d,all_diet_hormone_cohens_d,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,Liver,NAD,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3949431.45208909,6461706.82151913,66,539.87
pearson,Liver,NADH,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,181648.010018866,356212.744972415,66,539.87
pearson,Liver,NADP,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,331047.056360651,798741.193631594,66,539.87
pearson,Liver,NADPH,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5426.1568950611,29290.6448118394,66,539.87
pearson,Liver,NP-004713,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,876025.070367136,969743.197333765,66,539.87
pearson,Liver,NP-008993,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2203378.91781499,2522504.73539385,66,539.87
pearson,Liver,Naphthalen-2-amine,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1371962.20887244,1440879.838132,66,539.87
pearson,Liver,Naproxen,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,481138.373971639,690584.347682127,66,539.87
pearson,Liver,Nelarabine,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,136210.420523149,487463.036471943,66,539.87
pearson,Liver,Nervonic acid,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2280013.20850017,3377118.46699296,66,539.87
