metabolite_tissue,metabolite,hormone,correlation_direction,pearson_r,pearson_p_value,pearson_p_adj_bh,n,n_outlier_removed,removed_samples,n_old_cd,n_old_id,clustering_category,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,mean_metabolite_abundance__Old CD,mean_metabolite_abundance__Old ID,mean_metabolite_abundance__Young CD,mean_hormone_abundance__Old CD,mean_hormone_abundance__Old ID,mean_hormone_abundance__Young CD
Muscle,S-Carboxymethyl-L-cysteine,GLP-1,negative,-0.7108885403488496,0.03180173278034896,0.8053673965337975,9,4,2M33;4M3;4M4;4M5,3,4,CD groups cluster; Old ID separate,-1.208519529282726,0.7707687524700032,204937.2451701645,89344.8677604971,227661.4169185,148.54000000000002,228.4175,143.01999999999998
Liver,Homocitrulline,GLP-1,negative,-0.6180531928406663,0.03220163990043689,0.8053673965337975,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.491516876789984,0.7707687524700032,1390634.5566751112,603422.0583745366,1630218.821375352,148.54000000000002,228.4175,113.734
Liver,N-Acetyl-L-alanine,GLP-1,positive,0.6119198988511224,0.03445793982571539,0.8245266476332601,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.5553892492598351,0.7707687524700032,2293971.393280723,3286444.93475021,1539664.200779392,148.54000000000002,228.4175,113.734
Muscle,Glutarimide,GIP,positive,0.6111632655464672,0.034743916487072694,0.8246808705942644,12,0,,3,4,CD groups cluster; Old ID separate,-1.1605558042534792,-0.44889601269907653,2190437.3296509357,855577.0674517078,2178919.5414481065,293.11333333333334,183.1375,648.106
Liver,"1-(4,7-Dihydro-5H-thieno[2,3-c]pyran-7-yl)-N-methylmethanamine",GLP-1,positive,0.6069290618285832,0.036375685710644035,0.8254855449604329,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.1600441425033583,0.7707687524700032,659010.4809361267,964099.1846692379,531101.8285567908,148.54000000000002,228.4175,113.734
Liver,c19:4,Glucagon,positive,0.5813536288577342,0.03716970411496931,0.8268879132604197,13,0,,3,5,CD groups cluster; Old ID separate,1.260019788256656,0.8177262978081293,742276.320302611,1169459.060554153,946747.4897696052,224.83333333333334,306.004,284.392
Muscle,Dimethyl fumarate,GIP,positive,0.6037138898744835,0.037650751717316924,0.827402214621848,12,0,,3,4,CD groups cluster; Old ID separate,-1.8038695974941252,-0.44889601269907653,1187779.6147176216,750633.650329694,1177949.281029516,293.11333333333334,183.1375,648.106
Liver,PE(22:1(13Z)/18:1(9Z)),GLP-1,positive,0.6022702546825142,0.03823350054736944,0.8279473488550837,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.2285842619060026,0.7707687524700032,1006413.2409960602,3938042.83830797,2046632.5077618593,148.54000000000002,228.4175,113.734
Liver,4-Pyridoxic acid,GLP-1,positive,0.6016435492100846,0.038488469904419294,0.8284645979623956,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.4416827750769665,0.7707687524700032,250348.29938428843,534420.2013641788,102891.10517924806,148.54000000000002,228.4175,113.734
Liver,Encelin,Glucagon,negative,-0.5758402437981296,0.03944782563464206,0.8284645979623956,13,0,,3,5,CD groups cluster; Old ID separate,-1.443607096560032,0.8177262978081293,393858.770007258,249030.1189527874,336388.3143639282,224.83333333333334,306.004,284.392
