"tissue","raw.file","source","sequence.id","sample","sample.id","ion.mode","name","formula","mz","rt","ion.count","val.ic","med.val","val.adj.ic","med.adj.ic"
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Hydroxy-3-methylbutyric acid","C5H10O3",117.05569,3.589,11181652.4430768,841154,907295.31,12060883.9994265,14466682.0288304
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Hydroxy-3-methylpentanoic acid","C6H12O3",131.07134,3.71,4183952.61940223,841154,907295.31,4512943.63320612,5413145.55042002
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Hydroxyadipic acid","C6H10O5",161.04549,12.79,28350758.0341018,841154,907295.31,30580024.346654,36679856.0269688
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Hydroxybenzaldehyde","C7H6O2",121.02944,3.693,33475924.2118325,841154,907295.31,36108190.694345,43310731.9029269
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Hydroxybutyric acid","C4H8O3",103.03991,5.168,60082749.8063973,841154,907295.31,64807154.3513407,77734309.9592667
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Hydroxydecanedioic acid","C10H18O5",217.10795,12.019,141082.322839279,841154,907295.31,152175.855831374,182530.544102929
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Hydroxyethanesulfonate","C2H6O4S",124.99139,4.585,83364485.6821224,841154,907295.31,89919571.0654075,107855928.540058
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Hydroxyglutarate","C5H8O5",147.02964,7.627,4228911.94795564,841154,907295.31,4561438.18704199,5471313.36718261
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Hydroxymyristic acid","C14H28O3",243.19626,2.485,893387.096587281,841154,907295.31,963635.580105613,1155853.04773003
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Hydroxypyridine","C5H5NO",94.02969,4.653,460313.908090313,841154,907295.31,496509.140939842,595548.374955433
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Keto-6-acetamidocaproate","C8H13NO4",186.07699,12.897,496657.286699617,841154,907295.31,535710.258644538,642568.983480941
