"tissue","raw.file","source","sequence.id","sample","ion.mode","name","formula","mz","rt","ion.count"
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Nonenoic acid","C9H16O2",155.10775,2.564,190341.769893519
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-O-Methylascorbic acid","C7H10O6",189.04035,8.465,2492631.96758275
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Octenoic acid","C8H14O2",141.09207,2.667,668307.6978456
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Phosphoglyceric acid","C3H7O7P",184.98549,14.975,2992869.69647816
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Pyrocatechuic acid","C7H6O4",153.0191,2.097,42680.6485580617
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-[(2S,3R,4S,5R)-5-{[(Cyclohexylcarbamoyl)amino]methyl}-3,4-dihydroxytetrahydro-2-furanyl]-N-isopropylacetamide","C17H31N3O5",356.21896,3.041,39674.6028579766
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-[(5-methyl-2-furyl)methylene][1,3]thiazolo[3,2-a]benzimidazol-3(2h)-one","C15H10N2O2S",281.04074,9.625,4131.61255114757
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-hydroxyflutamide","C11H11F3N2O4",291.05713,11.314,63584.2047552701
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","20-HETE ethanolamide","C22H37NO3",362.26657,2.586,238439.855111164
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3,4-Dihydroxyhydrocinnamic acid","C9H10O4",181.05045,3.598,1213325.28392968
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-(1-cyano-1,2-dihydroisoquinolin-2-yl)-3-oxopropyl propionate","C16H16N2O3",283.11087,1.888,582479.35268365
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-Amino-4-hydroxybenzoic acid","C7H7NO3",152.03504,8.034,5266033.06893365
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-Furoic acid","C5H4O3",111.00856,14.824,2103112.45221202
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-Hydroxy-1-phenyl-1-eicosanone","C26H44O2",387.32673,2.198,81491.8096171381
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-Hydroxyhexanoylcarnitine","C13H25NO5",274.16559,9.112,129608.7676483
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-Methoxy-4-hydroxyphenylethyleneglycol sulfate","C9H12O7S",263.02289,2.49,114521.236938167
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-Methyl-2-oxovaleric acid","C6H10O3",129.05573,2.518,804568.677570074
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-Methylbutyl glucosinolate","C12H23NO9S2",388.07462,14.854,16017.8725813315
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-Methylphenylacetic acid","C9H10O2",149.06074,2.633,1083505.93188882
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-Nitrotyrosine","C9H10N2O5",225.0516,12.469,99748.1653385883
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-Oxododecanoic acid","C12H22O3",213.1496,2.489,343137.251573897
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-Oxooctadecanoic acid","C18H34O3",297.24339,2.198,13757664.4455566
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-hydroxydodec-2-enedioic acid","C12H20O5",243.12364,12.47,95527.3276344467
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","3-keto Fusidic acid","C31H46O7",529.31216,4.151,274089.217165932
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","4-(1,1,3,3-Tetramethylbutyl)-phenol","C14H22O",205.15963,2.388,3865164.94567096
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","4-Hydroxycinnamic acid","C9H8O3",163.03984,2.798,32387.2577104153
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","4-Hydroxyproline","C5H9NO3",130.051,14.034,312631.6684464
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","4-Hydroxypropofol","C12H18O2",193.12322,2.488,1327389.9850118
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","4-Oxoproline","C5H7NO3",128.03533,10.034,7715102.34125211
