"gene.id","age_baseMean","age_log2FoldChange","age_lfcSE","age_stat","age_pvalue","age_padj","id_baseMean","id_log2FoldChange","id_lfcSE","id_stat","id_pvalue","id_padj","age_direction","id_direction","same_direction","direction_class","rescue_fraction","rescue_interpretation","age_nominal","id_nominal","significance_class","limiting_pvalue","limiting_neg_log10_p","shared_effect_size","youth_shift_score"
"Zfat",86.5160525415346,0.300570492214091,0.192442002119798,1.56187572828815,0.11831726737768,0.247550711209847,73.9059144732727,-0.243525391001932,0.184170244092259,-1.32228413011137,0.186073555303613,0.999946780809711,"Higher in young CD","Lower in old ID",FALSE,"Opposing: ID lower",-0.810210573925777,"Opposing direction",FALSE,FALSE,"Neither nominal",0.186073555303613,0.730315344235081,0.243525391001932,-0.177850329759559
"Aplnr",216.739161000525,0.884208706324357,0.245885770019181,3.59601414207655,0.00032313024033428,0.00307567487946807,135.829875128891,-0.290934303756852,0.249425080993256,-1.16641960222403,0.243444836919644,0.999946780809711,"Higher in young CD","Lower in old ID",FALSE,"Opposing: ID lower",-0.32903352079201,"Opposing direction",TRUE,FALSE,"Age contrast only",0.243444836919644,0.613599431720206,0.290934303756852,-0.178517123453118
"Fmo2",480.28214663521,-0.288857211329171,0.179853822618048,-1.60606656630596,0.108259284907297,0.232654933171473,600.510670710534,0.219757605622822,0.153594643560078,1.43076347279561,0.152498015026342,0.999946780809711,"Lower in young CD","Higher in old ID",FALSE,"Opposing: ID higher",-0.760782826267731,"Opposing direction",FALSE,FALSE,"Neither nominal",0.152498015026342,0.816735809226814,0.219757605622822,-0.179483905862103
"Eya2",21.6373295788522,-0.802224341025917,0.345067921540084,-2.32483024630479,0.0200810390005223,0.0676686552761265,31.2609589877262,0.327570883068731,0.303726888204652,1.07850472180788,0.280808575707871,0.999946780809711,"Lower in young CD","Higher in old ID",FALSE,"Opposing: ID higher",-0.408328277162246,"Opposing direction",TRUE,FALSE,"Age contrast only",0.280808575707871,0.551589633273941,0.327570883068731,-0.180684703263102
"Metrn",475.287543476348,0.331865910855561,0.114552152647305,2.89707267114695,0.00376662493537556,0.0195179655742188,406.075066847014,-0.188735687778274,0.118146108866667,-1.59747696804192,0.110159427686932,0.999946780809711,"Higher in young CD","Lower in old ID",FALSE,"Opposing: ID lower",-0.56871067983966,"Opposing direction",TRUE,FALSE,"Age contrast only",0.110159427686932,0.957978329042464,0.188735687778274,-0.180804698808511
"Gimap3",21.4249029751904,-2.79714485360885,0.615070953603325,-4.54767834055907,5.42409516645834e-06,0.000128739416306149,52.9894395584069,0.489331798625861,0.61515976582264,0.795454816475991,0.426348984147635,0.999946780809711,"Lower in young CD","Higher in old ID",FALSE,"Opposing: ID higher",-0.174939741856604,"Opposing direction",TRUE,FALSE,"Age contrast only",0.426348984147635,0.370234767463376,0.489331798625861,-0.181167644676681
"Barx2",34.1859605559596,-0.356540572040238,0.350864980427207,-1.01617599911544,0.309545583432119,0.480498728666046,46.4886132418983,0.402372230533412,0.365899264776428,1.09968034721051,0.271471420491081,0.999946780809711,"Lower in young CD","Higher in old ID",FALSE,"Opposing: ID higher",-1.12854542256134,"Opposing direction",FALSE,FALSE,"Neither nominal",0.309545583432119,0.509275388080549,0.356540572040238,-0.181577338192253
"Nkain1",276.254244660574,0.39798809869926,0.186889537839969,2.12953653424972,0.0332098955555557,0.0987467649721386,224.160233926223,-0.195420202158686,0.124244141827029,-1.57287256594156,0.115748328632626,0.999946780809711,"Higher in young CD","Lower in old ID",FALSE,"Opposing: ID lower",-0.491020215924485,"Opposing direction",TRUE,FALSE,"Age contrast only",0.115748328632626,0.93648527133263,0.195420202158686,-0.183008141042454
"Tada2b",497.149024174248,0.247171896184904,0.113279102864941,2.18197257864584,0.0291115565727847,0.0898085657209,447.736640968902,-0.152236667552953,0.081216162988826,-1.87446269252954,0.0608666795339866,0.999946780809711,"Higher in young CD","Lower in old ID",FALSE,"Opposing: ID lower",-0.615914146805218,"Opposing direction",TRUE,FALSE,"Age contrast only",0.0608666795339866,1.21562038971078,0.152236667552953,-0.185061997138991
"Tmem132a",83.6638330600529,0.340045939800462,0.234076502278338,1.45271283743003,0.146303501175641,0.287896014110591,68.8975395462265,-0.289156833979673,0.240328150410643,-1.20317504830623,0.228908588410453,0.999946780809711,"Higher in young CD","Lower in old ID",FALSE,"Opposing: ID lower",-0.850346380107786,"Opposing direction",FALSE,FALSE,"Neither nominal",0.228908588410453,0.640337912745744,0.289156833979673,-0.185158083526712
