tissue,name,PC1,pc1_variance_explained,variance_explained,abs_variance_explained,rank
Liver,"2-(3,4-Dihydroxybenzoyloxy)-4,6-dihydroxybenzoate",0.04684245662095035,0.20931212974484736,4.592759701374733e-4,0.009804694357811745,75
Liver,Dimethylenetriurea,-0.046766379599041265,0.20931212974484736,4.5778535768112034e-4,0.009788770514331309,76
Liver,3-keto Fusidic acid,-0.04675453084460996,0.20931212974484736,4.575534175910569e-4,0.009786290426306469,77
Liver,Glyoxylic acid,-0.046701480702854056,0.20931212974484736,4.5651567847309504e-4,0.009775186388152274,78
Liver,2-Thiouracil,0.04667508136781385,0.20931212974484736,4.559997075068455e-4,0.00976966068711116,79
Liver,LysoPC(24:0/0:0),0.04660813896031274,0.20931212974484736,4.546926362806175e-4,0.009755648829226856,80
Liver,Jasmonic acid,-0.04648409489490444,0.20931212974484736,4.5227559626879413e-4,0.009729684901714036,81
Liver,"PG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))",0.046406675192494654,0.20931212974484736,4.507703122267344e-4,0.009713480018918431,82
Liver,"PG(16:0/18:2(9Z,12Z))",0.04632920937883908,0.20931212974484736,4.4926664303265244e-4,0.009697265484479765,83
Liver,3-Oxododecanoic acid,0.046308487665502655,0.20931212974484736,4.488648449980298e-4,0.009692928178529356,84
Liver,Ceramide (d18:1/16:0),0.04629512269948068,0.20931212974484736,4.486057910743284e-4,0.00969013072902733,85
Liver,Dihydroactinidiolide,-0.04621238288959547,0.20931212974484736,4.4700370485067806e-4,0.009672812283205571,86
Liver,2-Propionylthiazole,-0.04620260887886643,0.20931212974484736,4.4681464050446286e-4,0.009670766464203727,87
Liver,Pantothenic acid,-0.046131422090053144,0.20931212974484736,4.4543883958610934e-4,0.00965586620582752,88
Liver,Cer(d18:0/16:0),-0.046058330174473784,0.20931212974484736,4.4402842630599394e-4,0.009640567181310475,89
Liver,LysoPC(20:0/0:0),0.04602537555015872,0.20931212974484736,4.433932510811987e-4,0.009633669378710148,90
Liver,5-Hexyltetrahydro-2-oxo-3-furancarboxylic acid,-0.04588479937021449,0.20931212974484736,4.406888585566267e-4,0.009604245079094626,91
Liver,"2,6-Dimethylnaphthalene",-0.045827987978827193,0.20931212974484736,4.3959827306634626e-4,0.009592353765769583,92
Liver,4-Acetyl-2(3H)-benzoxazolone,0.04576376543830751,0.20931212974484736,4.383670457246882e-4,0.009578911209035784,93
Liver,"1,2-DIPHENYLCYCLOBUTANE",-0.04575452786541002,0.20931212974484736,4.381900918047243e-4,0.009576977672978935,94
Liver,cis-2-Decenoic acid,-0.04574921051885873,0.20931212974484736,4.380882495044497e-4,0.009575864687847695,95
Liver,"1,2-Didecanoyl-sn-glycero-3-phosphocholine",0.04574052054409813,0.20931212974484736,4.3792183726589683e-4,0.009574045770723124,96
Liver,spermidine,0.045620306222080256,0.20931212974484736,4.356229872940361e-4,0.00954888345495573,97
Liver,Cholesterol sulfate,0.04555082899322937,0.20931212974484736,4.3429713773940587e-4,0.009534341028216181,98
Liver,4-oxo-Retinoic acid,-0.04554458269521185,0.20931212974484736,4.3417803723505213e-4,0.009533033602275112,99
Liver,N-Palmitoyl Glutamic acid,0.04546190469019778,0.20931212974484736,4.3260312362010145e-4,0.009515728092962562,100
Liver,N-(4-Carboxy-4-oxobutanoyl)-L-cysteinylglycine,0.04537952658259722,0.20931212974484736,4.3103676869867794e-4,0.00949848535581634,101
Liver,Dihydrocarvone,-0.045359625091569836,0.20931212974484736,4.3065878355863106e-4,0.009494319732344299,102
