"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ontology","comparison","direction"
"GO:0002691","regulation of cellular extravasation",40,-0.347628203152015,-1.25535829191828,0.137037037037037,0.356919191919192,0.277942583732057,3951,"tags=40%, list=29%, signal=28%","114332/14537/56532/56838/84094/18613/12772/16401/16177/114774/20296/20343/20315/71785/50931/15894","BP","young CD vs old CD","Down"
"GO:0046039","GTP metabolic process",25,-0.390359008786779,-1.28115919931185,0.137362637362637,0.357442285235201,0.278349930579961,1225,"tags=28%, list=9%, signal=26%","11848/56520/18103/19384/14679/18102/11717","BP","young CD vs old CD","Down"
"GO:0003203","endocardial cushion morphogenesis",33,0.351644191425241,1.27638547084638,0.137339055793991,0.357442285235201,0.278349930579961,2096,"tags=30%, list=15%, signal=26%","56198/23796/12160/19664/17128/11477/18121/18128/22160/233651","BP","young CD vs old CD","Up"
"GO:0043589","skin morphogenesis",13,0.474383012757702,1.31717647946302,0.137554585152838,0.357779288663533,0.278612364222415,757,"tags=31%, list=6%, signal=29%","12843/12842/230793/20807","BP","young CD vs old CD","Up"
"GO:0042159","lipoprotein catabolic process",15,-0.47671055676921,-1.34073502359994,0.13780260707635,0.358261768850946,0.278988084533694,2712,"tags=47%, list=20%, signal=37%","11816/16889/19063/11920/13033/238055/11813","BP","young CD vs old CD","Down"
"GO:0090101","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",127,0.247611391741395,1.16521690106916,0.137931034482759,0.358433028383767,0.279121448942553,1940,"tags=21%, list=14%, signal=18%","22418/11350/20190/80288/52592/71954/75788/20481/15258/52662/19042/224640/238247/11477/56424/22059/17130/65112/18121/14118/24063/18128/23863/52463/20319/24064/66313","BP","young CD vs old CD","Up"
"GO:0031998","regulation of fatty acid beta-oxidation",19,-0.443530727658229,-1.34645301599514,0.138121546961326,0.358440427576267,0.279127210892954,454,"tags=21%, list=3%, signal=20%","27413/12894/14080/66887","BP","young CD vs old CD","Down"
"GO:0010906","regulation of glucose metabolic process",102,-0.278184574222896,-1.2160135321738,0.138111888111888,0.358440427576267,0.279127210892954,2296,"tags=26%, list=17%, signal=22%","21416/12491/16847/18113/19883/236900/19255/58801/14756/19885/16846/212980/19017/14711/15378/103988/19733/56458/14121/19386/17691/230709/234199/17842/16010/18639/59046","BP","young CD vs old CD","Down"
"GO:0046660","female sex differentiation",109,-0.27357474705122,-1.20660699136524,0.138053097345133,0.358440427576267,0.279127210892954,3502,"tags=34%, list=26%, signal=25%","58223/16323/18787/17300/22762/12028/14165/110542/17886/26357/20655/22215/20377/20564/17311/11606/30953/93757/18783/94109/19662/11920/12048/12043/11622/20897/218454/16846/22187/12167/93837/18669/268903/17289/12394/22061/12385","BP","young CD vs old CD","Down"
"GO:0005976","polysaccharide metabolic process",100,0.257286469873909,1.1679129605787,0.138248847926267,0.358573216520651,0.279230617218892,2473,"tags=26%, list=18%, signal=21%","16367/15118/69181/15531/19309/19047/329015/18682/13853/53601/66681/18033/16337/14583/217166/606496/14043/76559/14783/108099/14042/18642/16195/74781/58200/56637","BP","young CD vs old CD","Up"
