"ontology","ID","Description","age_direction","age_NES","age_p.adjust","age_setSize","diet_direction","diet_NES","diet_p.adjust","diet_setSize","NES_delta","abs_NES_delta","direction_switch","NES_change_class","best_p.adjust","worst_p.adjust"
"BP","GO:0002275","myeloid cell activation involved in immune response","Down",-2.22665200401156,8.34876019444722e-06,79,"Up",2.0326267443374,0.00106634849925059,83,4.25927874834895,4.25927874834895,TRUE,"Switched: young-down, ID-up",8.34876019444722e-06,0.00106634849925059
"BP","GO:0036230","granulocyte activation","Down",-2.20526679581146,0.000174319589696769,39,"Up",2.01868234880442,0.00550932649774003,42,4.22394914461588,4.22394914461588,TRUE,"Switched: young-down, ID-up",0.000174319589696769,0.00550932649774003
"BP","GO:0071621","granulocyte chemotaxis","Down",-2.2061509057346,3.91180244406334e-06,96,"Up",2.00310456254509,0.000368705102804725,100,4.20925546827969,4.20925546827969,TRUE,"Switched: young-down, ID-up",3.91180244406334e-06,0.000368705102804725
"BP","GO:0019724","B cell mediated immunity","Down",-2.55588614881995,2.08983041109812e-10,105,"Up",1.63206073549116,0.0270318254161364,119,4.18794688431112,4.18794688431112,TRUE,"Switched: young-down, ID-up",2.08983041109812e-10,0.0270318254161364
"BP","GO:0050830","defense response to Gram-positive bacterium","Down",-2.23727770822528,1.08246810915579e-05,73,"Up",1.94992238584593,0.00264028110286229,74,4.18720009407121,4.18720009407121,TRUE,"Switched: young-down, ID-up",1.08246810915579e-05,0.00264028110286229
"BP","GO:0002449","lymphocyte mediated immunity","Down",-2.52888804118053,6.2418307491048e-15,227,"Up",1.64615664289226,0.00419305638947267,250,4.1750446840728,4.1750446840728,TRUE,"Switched: young-down, ID-up",6.2418307491048e-15,0.00419305638947267
"BP","GO:0006956","complement activation","Down",-2.53281446652109,1.38017355694705e-07,44,"Up",1.64010812231768,0.093593547894958,48,4.17292258883877,4.17292258883877,TRUE,"Switched: young-down, ID-up",1.38017355694705e-07,0.093593547894958
"BP","GO:0050900","leukocyte migration","Down",-2.02941075591743,5.04990930113443e-09,310,"Up",2.14343699694507,1.67394998014005e-09,322,4.1728477528625,4.1728477528625,TRUE,"Switched: young-down, ID-up",1.67394998014005e-09,5.04990930113443e-09
"BP","GO:0030595","leukocyte chemotaxis","Down",-2.10257164627145,3.95926207990826e-07,181,"Up",2.06982859967411,3.73031478064703e-06,191,4.17240024594556,4.17240024594556,TRUE,"Switched: young-down, ID-up",3.95926207990826e-07,3.73031478064703e-06
"BP","GO:0016064","immunoglobulin mediated immune response","Down",-2.53242719253748,2.30396741038594e-10,103,"Up",1.61673600615102,0.0310871756054257,117,4.1491631986885,4.1491631986885,TRUE,"Switched: young-down, ID-up",2.30396741038594e-10,0.0310871756054257
"BP","GO:0002687","positive regulation of leukocyte migration","Down",-2.03072327786354,2.05373696911901e-05,134,"Up",2.10221075074214,4.20544399471879e-05,138,4.13293402860568,4.13293402860568,TRUE,"Switched: young-down, ID-up",2.05373696911901e-05,4.20544399471879e-05
