"source","ion.mode","name","formula","mz","rt","med.ic","n.samples"
"CD","nega","Acrylic acid","C3H4O2",71.01382,7.649,14757143.8810362,44
"CD","nega","Adenosine 2',3'-cyclic phosphate","C10H12N5O6P",328.04522,9.501,102190.193855275,44
"CD","nega","Adenosine 5'-monophosphate","C10H14N5O7P",346.056,16.937,2806807.11766532,22
"CD","nega","Adenosine diphosphate (ADP)","C10H15N5O10P2",426.02201,17.015,500015.934532372,22
"CD","nega","Adenosine diphosphate ribose","C15H23N5O14P2",558.06445,14.425,9183289.85896891,44
"CD","nega","Adrenic acid","C22H36O2",331.26388,2.195,22986028.7195366,44
"CD","nega","Aflatoxin B1","C17H12O6",311.05353,3.869,20216.9203989025,22
"CD","nega","Alanylproline","C8H14N2O3",185.09305,13.215,166989.71667812,22
"CD","nega","Aldosterone","C21H28O5",359.1864,2.566,183628.307126595,44
"CD","nega","Allantoin","C4H6N4O3",157.03661,8.489,16085861.1127051,44
"CD","nega","Allose","C6H12O6",179.05604,12.802,56077683.7552775,44
"CD","nega","Aminomalonic acid","C3H5NO4",118.01366,12.794,4963.7887583228,22
"CD","nega","Annoglabasin F","C22H34O5",377.23615,2.277,5362111.99804244,44
"CD","nega","Anserine","C10H16N4O3",239.11475,15.173,56559228.6310939,44
"CD","nega","Aprobarbital","C10H14N2O3",209.09459,8.411,221616.934471622,22
"CD","nega","Arabinonic acid","C5H10O6",165.04034,12.581,20485621.4089616,22
"CD","nega","Arachidic acid","C20H40O2",311.29534,2.196,3258632.52733042,44
"CD","nega","Arachidonic acid","C20H32O2",303.23255,2.214,232085540.906856,44
"CD","nega","Arginylglutamic acid","C11H21N5O5",302.14869,12.313,91542.3247033541,22
"CD","nega","Artemether","C16H26O5",297.17041,2.796,130607.368819153,44
"CD","nega","Ascorbic acid","C6H8O6",175.02466,14.58,429292.89753077,44
"CD","nega","Ascorbic acid 2-sulfate","C6H8O9S",254.98131,3.194,4501629.20577334,44
"CD","nega","Asparagoside A","C33H54O8",577.37504,2.904,179426.995367908,22
"CD","nega","Azelaic acid","C9H16O4",187.09737,12.013,3806566.25890552,44
"CD","nega","Baicalin","C21H18O11",445.07556,4.047,73234.2797095389,22
"CD","nega","Barbital","C8H12N2O3",183.07733,12.005,160974.426394042,44
"CD","nega","Behenic acid","C22H44O2",339.32653,2.205,624683.685798225,44
"CD","nega","Behenoylglycine","C24H47NO3",396.34821,2.411,438570.987517679,44
"CD","nega","Benzoic acid","C7H6O2",121.02951,5.335,22764143.7344506,22
"CD","nega","Benzyl alcohol","C7H8O",107.05006,2.348,330818.411373333,22
"CD","nega","Benzyl cinnamate","C16H14O2",237.09109,12.267,2214135.36934845,22
"CD","nega","Biflorin","C16H18O9",353.0896,12.817,66295.2085058971,22
"CD","nega","Bilirubin","C33H36N4O6",291.12466,2.143,7507.87173366092,22
"CD","nega","Bis(2-ethylhexyl) phthalate","C24H38O4",389.26978,2.962,18429.1119169441,22
"CD","nega","Bisphenol A","C15H16O2",227.10768,2.764,346782.631003249,22
"CD","nega","Bosentan","C27H29N5O6S",550.17194,15.84,48629.3898108665,22
"CD","nega","Cabergoline","C26H37N5O2",450.28635,8.032,143311.156463045,22
"CD","nega","Caffeine","C8H10N4O2",193.07274,3.906,19968.5041828895,22
"CD","nega","Calonectrin","C19H26O6",349.1654,2.719,142933.296491257,22
"CD","nega","Canrenone","C22H28O3",339.19955,1.951,14908533.858139,44
"CD","nega","Caprylic acid","C8H16O2",143.10767,2.398,266122.566632511,44
"CD","nega","Capryloylglycine","C10H19NO3",200.1291,2.89,135714.304357145,44
"CD","nega","Carbamazepine-O-quinone","C15H10N2O3",265.05997,2.033,13446.9002736767,22
"CD","nega","Carbamoyl phosphate","CH4NO5P",139.97552,16.666,1531702.67483736,22
"CD","nega","Chenodeoxycholic acid","C24H40O4",391.28546,2.998,85790.8938191843,44
"CD","nega","Cholesterol sulfate","C27H46O4S",465.30424,1.893,33581389.0023102,44
"CD","nega","Cholic acid","C24H40O5",407.28021,4.214,2322734.95448426,44
"CD","nega","Cinnamoylglycine","C11H11NO3",204.06637,3.813,4968664.43015043,44
"CD","nega","Citramalic acid","C5H8O5",147.02985,13.797,8081008.22274131,44
"CD","nega","Citric acid","C6H8O7",191.01964,14.916,41131432.5818567,44
"CD","nega","Citronellyl propionate","C13H24O2",211.17009,2.419,316639.280423212,22
"CD","nega","Citrusin E","C17H24O9",371.13422,15.758,20613.7372057124,22
"CD","nega","Corchorifatty acid F","C18H32O5",327.21753,3.026,2079851.87968908,22
"CD","nega","Cortexolone","C21H30O4",345.20715,2.587,155830.13441359,44
"CD","nega","Cucurbic acid","C12H20O3",211.13393,2.466,463260.397035595,44
"CD","nega","Cyclic ADP-ribose","C15H21N5O13P2",540.05367,14.829,843993.01370057,22
"CD","nega","Cysteic acid","C3H7NO5S",167.99715,13.727,1029738.42324807,22
"CD","nega","Cytidine","C9H13N3O5",242.07823,9.952,473758.842233417,44
"CD","nega","D-Alanine","C3H7NO2",88.04034,12.534,590263.469557247,22
"CD","nega","D-Glucuronic acid","C6H10O7",193.03511,14.179,1502453.60008585,44
"CD","nega","D-Glucuronic acid 1-phosphate","C6H11O10P",272.99929,11.86,2118950.83494296,22
"CD","nega","D-Glycero-D-galacto-heptitol","C7H16O7",211.08221,14.089,546746.528685074,22
"CD","nega","D-Malic acid","C4H6O5",133.01416,14.331,211582781.44535,44
"CD","nega","D-Ribose","C5H10O5",149.04541,8.81,1133192.92917719,22
"CD","nega","D-Ribose 5-phosphate","C5H11O8P",229.01167,14.803,6869206.23779823,44
"CD","nega","D-Tartaric acid","C4H6O6",149.00899,14.843,274145.971677112,44
"CD","nega","D-Threitol","C4H10O4",181.0717,8.974,38606.0836285593,44
"CD","nega","D-Xylose","C5H10O5",149.04694,10.956,1712570.9689457,44
"CD","nega","DG(18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C43H70O5",665.51115,1.839,1892.32134469959,22
"CD","nega","DG(18:2n6/0:0/18:3n3)","C40H68O5",673.50604,2.295,623986.898197131,44
"CD","nega","DG(18:2n6/0:0/20:4n6)","C42H70O5",653.51782,2.282,627239.888115134,22
"CD","nega","DL-Isocitric acid lactone","C6H6O6",173.00905,12.774,90165.5563608643,22
"CD","nega","DL-Malic acid","C4H6O5",133.01405,12.815,3979276.508794,22
"CD","nega","De-O-methylsterigmatocystin","C17H10O6",309.03982,12.345,6315718.22744836,44
"CD","nega","Dehydroascorbic acid","C6H6O6",173.00893,3.766,3832578.2487732,44
"CD","nega","Deoxyinosine","C10H12N4O4",251.0783,8.598,124000.060960354,22
"CD","nega","Deoxyribose","C5H10O4",133.05075,6.506,2387673.6208754,22
"CD","nega","Deoxyuridine","C9H12N2O5",227.06729,5.254,8060067.71605405,44
"CD","nega","Dephospho-CoA","C21H35N7O13P2S",686.14533,12.762,144519.464991664,22
"CD","nega","Diacetyl","C4H6O2",85.02949,12.798,6687412.95723237,44
"CD","nega","Diethyl tartrate","C8H14O6",205.07258,3.515,29229.6086791516,44
"CD","nega","Dihomo-gamma-linolenic acid","C20H34O2",305.24818,2.215,47987600.4814914,44
"CD","nega","Dihydrocarvone","C10H16O",151.11262,3.935,146410.512703866,22
"CD","nega","Dihydronaringenin-O-sulphate","C15H14O8S",353.03607,8.488,108905.648066205,44
"CD","nega","Dihydronepetalactone","C10H16O2",167.10765,2.44,616251.839830674,44
"CD","nega","Dihydrouracil","C4H6N2O2",113.03563,3.889,7619617.44897371,22
"CD","nega","Dihydroxyacetone phosphate","C3H7O6P",168.99049,14.666,1385725.12645392,44
"CD","nega","Dimethylglycine","C4H9NO2",102.0559,11.421,746701.04680666,22
"CD","nega","Docosadienoate (22:2n6)","C22H40O2",335.29474,2.228,457106.70530293,44
"CD","nega","Docosahexaenoic acid","C22H32O2",327.23273,2.182,185511278.624123,44
"CD","nega","Docosatrienoic acid","C22H38O2",333.27963,2.192,807437.555871643,44
"CD","nega","Dodecanedioic acid","C12H22O4",229.14428,4.073,198262.852695278,22
