Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
AdultSpleen_B cell	Adult	Lymphatic system	AdultSpleen	B cell	B cell	CL:0000236	Spleen	UBERON:0002106	5.4291619553085e-31	4.11708882651482e-05	0.325461254612546	0.000163746143074461	3.78582892071759	NA
AdultHeart_Macrophage	Adult	Cardiovascular system	AdultHeart	Macrophage	Macrophage	CL:0000235	Heart	UBERON:0000948	5.99111394946228e-31	4.11708882651482e-05	0.32619926199262	0.000164087030678495	3.78492574391554	NA
AdultLiver_Monocyte	Adult	Digestive system	AdultLiver	Monocyte	Monocyte	CL:0000576	Liver	UBERON:0002107	6.02909714434102e-31	4.11708882651482e-05	0.326937269372694	0.000164427849539517	3.78402462306722	NA
FetalEyes_Fetal neuron	Fetal	Sensory system	FetalEyes	Fetal neuron	Neuron	CL:0000540	Eye	UBERON:0000970	6.2899235248338e-31	4.11708882651482e-05	0.327675276752768	0.000164768599812515	3.7831255488736	NA
TS_Salivary_Gland_endothelial cell of lymphatic vessel	Adult	Digestive system	TS_Salivary_Gland	endothelial cell of lymphatic vessel	Endothelial cell	CL:0000115	Saliva-secreting gland	UBERON:0001044	1.72329419611597e-75	0.000123512664795445	0.109225092250923	0.000164768599812515	3.7831255488736	NA
TS_Liver_intrahepatic cholangiocyte	Adult	Digestive system	TS_Liver	intrahepatic cholangiocyte	Intrahepatic cholangiocyte	CL:0002538	Liver	UBERON:0002107	6.86650028389134e-31	4.11708882651482e-05	0.328413284132841	0.000165109281652143	3.78222851209756	NA
Fetal_HCA_Cerebellum_10k_Vascular endothelial cells	Fetal	Nervous system	Fetal_HCA_Cerebellum_10k	Vascular endothelial cells	Endothelial cell	CL:0000115	Cerebellum	UBERON:0002037	8.00386756613276e-31	4.11708882651482e-05	0.329889298892989	0.000165790440645575	3.78044051416309	NA
AdultJeJunum_Enterocyte	Adult	Digestive system	AdultJeJunum	Enterocyte	Enterocyte	CL:0000584	Jejunum	UBERON:0002115	9.01882386619749e-31	4.11708882651482e-05	0.330627306273063	0.000166130918104801	3.77954953484091	NA
Fetal_HCA_Spleen_AFP_ALB positive cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	AFP_ALB positive cells	Hepatocyte	CL:0000182	Spleen	UBERON:0002106	9.91047751723339e-31	4.11708882651482e-05	0.331365313653137	0.000166471327741613	3.77866055660748	NA
AdultThyroid_Macrophage	Adult	Endocrine system	AdultThyroid	Macrophage	Macrophage	CL:0000235	Thyroid gland	UBERON:0002046	1.1807524187421e-30	4.11708882651482e-05	0.33210332103321	0.000166811669707112	3.77777357053206	NA
AdultOmentum_Macrophage	Adult	Integumentary system	AdultOmentum	Macrophage	Macrophage	CL:0000235	Omentum	UBERON:0003688	2.23081789662264e-30	4.11708882651482e-05	0.333579335793358	0.000167492151224802	3.77600553943086	NA
VentoTormo_2018_decidua_placental extravillous trophoblast cell (EVT)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	placental extravillous trophoblast cell (EVT)	Trophoblast cell	CL:0000351	Decidua	UBERON:0002450	4.22409938762975e-30	4.11708882651482e-05	0.335793357933579	0.000168512369703944	3.77336821409834	NA
Fetal_HCA_Eye_Skeletal muscle cells	Fetal	Sensory system	Fetal_HCA_Eye	Skeletal muscle cells	Cell of skeletal muscle	CL:0000188	Eye	UBERON:0000970	4.45257669213456e-30	4.11708882651482e-05	0.336531365313653	0.000168852308776057	3.77249299672921	NA
TS_Thymus_naive b cell	Adult	Lymphatic system	TS_Thymus	naive b cell	B cell	CL:0000236	Thymus	UBERON:0002370	4.64914257218342e-30	4.11708882651482e-05	0.337269372693727	0.000169192181215583	3.77161971064325	NA
AdultPleura_Neutrophil	Adult	Respiratory system	AdultPleura	Neutrophil	Neutrophil	CL:0000775	Pleura	UBERON:0000977	6.40992794832507e-30	4.11708882651482e-05	0.338007380073801	0.000169531987168403	3.77074834737184	NA
Lake_2017_VisualCortex_Mic	Adult	Nervous system	Lake_2017_VisualCortex	Mic	Microglial cell	CL:0000129	Visual cortex	UBERON:0000411	8.12034173652311e-30	4.11708882651482e-05	0.339483394833948	0.000170211400193687	3.76901135567678	NA
FetalSkin_Macrophage	Fetal	Integumentary system	FetalSkin	Macrophage	Macrophage	CL:0000235	Skin of body	UBERON:0002097	8.83740375950728e-30	4.11708882651482e-05	0.340221402214022	0.000170551007554698	3.76814571059166	NA
CordBlood_Monocyte	Neonatal	Reproductive system	CordBlood	Monocyte	Monocyte	CL:0000576	Umbilical cord blood	UBERON:0012168	1.46934163019766e-29	4.11708882651482e-05	0.34169741697417	0.000171230024689772	3.76642008069977	NA
