"contrast","direction","Developmental_stage","primary_tissue","plotted_gene_n","gene_n","human_symbols","primary_tissue_cell_type_hits","best_combined_p","best_combined_log10p","webcsea_jobs"
"young CD vs old CD","Downregulated","Adult","Tongue",248,248,"ACAT2; ACOT13; ACP1; ACTA2; ACTG2; ADAMTS9; ADH5; ADH7; ADRA2A; AIF1L; AKR1B1; AKR1B10; AKR1C2; AKR1C3; ALDH3A1; ALG5; APOD; AQP9; ASS1; ATF3; AURKA; AVPI1; B2M; BCL2A1; BIRC5; BNIP3; C11orf1; C11orf96; C19orf33; C1QC; C1S; C9orf85; CAV1; CAV2; CCDC80; CCL2; CCL23; CCL5; CCL8; CCNA2; CCNB1; CCNB2; CD24; CD3E; CD52; CD79A; CDC20; CDT1; CENPF; CFB; CFH; CHMP5; CKB; CKS2; CLDN7; CMC1; CNN1; COG4; COL18A1; COPS5; COPZ2; COX16; COX7A1; CPA3; CREM; CRIP1; CRIPT; CRYAB; CST6; CXCL12; CYB561D2; CYTL1; DEGS1; DHCR24; DLGAP5; DNAJC19; DPM1; DSTN; DTD1; EEF1E1; EFEMP1; ELF3; ENDOD1; EPCAM; F12; FAM162A; FBLN5; FCER1A; FCGR3A; FETUB; FHL2; FIS1; GADD45A; GFER; GJB2; GPNMB; GSTM1; GUK1; HAMP; HAX1; HBA1; HBA2; HBB; HDDC2; HIBCH; HIGD1A; HLA-DQA1; HLA-DQB1; HMMR; HSPB2; HSPB8; ICAM1; ID3; IGFBP2; IGFBP4; IGHA1; IGHA2; IGHG1; IGHG2; IGHG3; IGHG4; IGHM; IGHV4-39; IGKC; IGLC2; IGLC3; IL1B; IL1RN; IL33; IL7R; ITGAX; KPNA2; KRT18; KRT19; KRT8; LAMTOR5; LCN2; LIMD2; LRG1; LTB; MAGOH; MAL2; MB; MCM5; MEA1; MED11; MGP; MIF; MKI67; MMP3; MOB4; MRPL22; MRPL24; MRPL32; MRPL35; MRPL50; MRPS22; MRPS28; MYH11; MYL2; MYL9; MZB1; NDUFA5; NDUFV2; NMB; NME2; NME4; NNAT; NNMT; NOSTRIN; NQO1; NRN1; NSG1; NT5C; NUBP2; ODC1; PAM16; PCNA; PDCD6; PDLIM3; PEMT; PERP; PET100; PHGDH; PIN1; PKIG; PKP3; PLN; PMAIP1; POLR2H; POLR2K; PRDX2; PRPS2; RAC2; RARRES2; RGCC; RGS1; RHOC; RPP25L; RRAD; RRM2; SAA1; SCRN3; SDCBP2; SEC11C; SELL; SERPING1; SFN; SFRP1; SH3BGRL2; SHISA5; SLC27A5; SLC2A5; SLC9A3R1; SLC9A3R2; SLPI; SNCA; SNCG; SPP1; STMN1; STOM; STOML2; TAGLN; TECR; TFPI; THBD; THYN1; TINAGL1; TM4SF1; TNNC1; TNNT2; TNS4; TOP2A; TPSAB1; TPSB2; TSC22D3; TSPAN17; TUBA4A; TUBB2A; TUBB4B; UBB; UBE2T; UCHL1; UGDH; VCAM1; ZBTB8OS; ZMAT5; ZWINT","TS_Tongue_epithelial cell; TS_Tongue_keratinocyte",1.56881353052807e-06,5.80442867366948,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Eye",224,224,"A4GALT; ABCA12; ABCA5; ACOT6; AIDA; APOL1; APOOL; ARAP2; ARFGAP3; ARFIP1; ARPP19; ATP8B1; B4GALT4; BAIAP2L1; BBOX1; BCL2L1; BEX2; BLNK; BLZF1; BOLA2; C1GALT1C1; C4B; C4orf19; C6orf141; CAB39L; CACNB4; CASR; CCL27; CCND1; CDH1; CDPF1; CEACAM1; CETN3; CFDP1; CGN; CHL1; CHMP4C; CLDN1; CMPK1; CNKSR1; COBLL1; COG6; CP; CRIM1; CRNKL1; CRY2; CTSV; CTTN; CYB561; CYLD; CYP17A1; CYP2F1; DGKA; DKK3; DRG1; DSG2; DSP; DUSP14; ECI2; EGF; EGFR; EHD3; EHF; EPHA1; EPS8L2; ERRFI1; ESRP1; ETNK2; EXOC6; EXPH5; EYA2; F2RL1; FADS3; FAM110C; FAM83G; FAM83H; FAS; FAT2; FBXO8; FGFR3; FGGY; FMR1; FRRS1; GDA; GGT6; GNAI1; GSDMC; GSTA3; GTF2F2; HERC4; HGD; HGFAC; HOOK1; HOXA11; HOXD10; HSF2; HSPA14; IK; IL1R1; IL20RB; INTS4; IP6K2; IPPK; IRAK2; IRF6; KCNK1; KDSR; KIAA0040; KIFC3; KLF5; KLHL13; LANCL1; LBH; LIPG; LMO7; LRP11; LSR; MALL; MAP7; MARVELD2; MAT1A; MATN2; MFAP1; MKNK2; MPZL3; MYO1B; MYO5B; NAE1; NEMF; NIP7; NIPSNAP1; NMRAL1; NSUN2; NT5DC1; NXN; OCLN; OSTN; PAWR; PDXDC1; PEF1; PHF11; PHF6; PI4K2B; PIR; PLK2; PLRG1; PLS3; PNO1; POF1B; POGLUT1; PPFIBP1; PPME1; PPP1R3C; PSD4; PSMD10; PSMD5; PSMD6; PSMG4; PTPRF; PWP1; RHPN2; ROBO2; RORA; RPS6KA5; RRAGA; RRAS2; SAP30BP; SCNN1A; SDC1; SDF2; SEMA3F; SERINC3; SERINC5; SERPINA10; SERPINA6; SH3D19; SH3YL1; SIM2; SLC2A14; SLC38A1; SLC39A4; SLC51A; SLC6A14; SPRYD7; SPSB1; SPTAN1; SPTBN2; SRFBP1; STAU2; STRN; SUCO; SYNJ2; TAF4B; TC2N; TDRP; TFG; TFPI2; TGFA; THUMPD3; TM4SF4; TMEM30B; TMEM43; TP63; TPD52L1; TPRG1L; TRA2A; TRIM16; TRIP4; TSPAN1; TTC9; TUFT1; TWF1; UBXN8; UFSP2; UGT1A6; VEZT; VPS13A; VWA5A; WDPCP; WLS; YDJC; YIPF1; ZDHHC13; ZNF611","TS_Eye_b cell; TS_Eye_conjunctival epithelial cell; TS_Eye_corneal epithelial cell; TS_Eye_dendritic cell; TS_Eye_macrophage; TS_Eye_melanocyte; TS_Eye_monocyte; TS_Eye_plasma cell; TS_Eye_retinal blood vessel endothelial cell",4.86355828888119e-06,5.31304587481517,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Liver",173,173,"ABCB11; ACTR10; ADAMDEC1; AFM; AGPAT4; AKR1C4; AMBP; AMPD3; APH1B; APOA1; APOC3; APOH; ARHGEF3; ARRDC2; ATP13A3; ATP2A3; ATP6V1H; ATP8B4; B3GNT5; BCL2; BIRC3; BTG1; C9; CCDC107; CCNDBP1; CCR5; CD180; CD209; CD55; CD5L; CD72; CD79B; CELA1; CFHR1; CFHR3; COPS3; CRP; CSF2RB; CSRNP1; CXCL13; CYP2A6; CYP2A7; CYP2C8; CYP2D6; CYP3A43; CYP4A22; CYSLTR1; CYTIP; DPEP2; DSC2; EDEM1; EHD1; ELF1; ELL2; EMD; ERAP1; EZR; F13B; F9; FBXL4; FGB; FGD3; FGG; FGL1; GABARAPL1; GAS2L3; GCH1; GIMAP6; GMFB; GNG2; GNMT; GPR132; GPR65; GPRC5A; GTF2B; HAO1; HBP1; HDAC4; HFE; HLA-DRB5; HPX; HSD17B13; IKZF1; IL2RG; INPP5D; IP6K3; ITGB8; ITPR1; KMO; LGMN; LITAF; LRRC3; MAFF; MB21D2; MBL2; MCTP2; MED30; METTL7B; MGAT4A; MGAT5; MLIP; MRPS6; MTHFD1L; MYCBP; MYL12A; NABP1; NBEAL2; NFKB2; NFKBIE; NHS; NLRC4; NR4A3; NUAK2; ORM1; ORM2; OSBPL3; PAIP2; PDCL3; PFKFB1; PIK3CG; PIK3R5; PLA2G4A; PLAGL1; PLG; PON1; PPP1R11; PRR5L; RASSF5; RBM41; RELB; RNMT; SARAF; SARDH; SDS; SELPLG; SIK1; SLAMF7; SLC10A1; SLC17A2; SLC22A1; SLC22A25; SLC26A2; SLC4A7; SLC6A4; SLCO1B3; SNX16; SNX20; SPATA24; SPP2; SYAP1; TAF13; TAX1BP1; TGFBR1; TLR1; TNFAIP8; TNFRSF11A; TNNI1; TRMT6; TRPV4; TSG101; TTR; TUBA1A; UBXN2B; UGT1A4; UGT1A9; UGT2B10; UROC1; UTP18; VDR; WDFY4; WDR44; ZC3H12D; ZDHHC2","TS_Liver_endothelial cell; TS_Liver_hepatocyte; TS_Liver_liver dendritic cell; TS_Liver_macrophage; TS_Liver_monocyte; TS_Liver_nk cell",2.05678716302948e-06,5.68681064690723,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Bone marrow",131,131,"ADAMTS5; ANP32E; AP1S3; ATAD2; BEX1; BRCC3; C18orf32; C5; C7; CA1; CACNA1E; CALML4; CASP8AP2; CBX5; CCDC12; CCDC15; CCDC50; CDCA2; CDCA7; CEBPZ; CENPE; CENPI; CENPL; CHEK1; CHM; CHRDL1; CKAP5; CSE1L; CXCL10; DCPS; DCUN1D5; DTL; E2F2; ECT2; EIF5B; EXOSC9; FAAH; FANCD2; FARSB; FAT3; FLNB; GALNT4; GDF5; GGH; GOLM1; GPIHBP1; HAT1; HAUS2; HDC; IGHV1-58; IGHV4-61; IGHV4OR15-8; IGKV1D-43; IGKV2D-40; ILDR2; INMT; KIAA0825; KIF18A; KIF20A; KIF23; KIF4A; KITLG; LBP; LIG1; LRRCC1; LYRM2; LYRM4; MAGOHB; MAK16; MANF; MAP3K6; MCM10; MCM3; MCM6; MED14; MGA; MGAT2; NCBP1; NOP58; NUDT18; OLFML2A; OSGEP; OSMR; PAICS; PAK1IP1; PDSS1; PIK3C2A; PKP2; POLA1; POLD2; POLQ; PPP1R27; PRLR; PSMD14; RAB44; RAPGEF4; RBL1; RBM27; RBP4; RPE; RRM1; RUNX1T1; SACS; SH3RF1; SLC33A1; SLC4A1; SLC7A10; SMC2; SPAG5; SPDL1; STAB2; STBD1; STT3A; SUPT4H1; TAF11; TCEA1; TCP1; TF; THBS2; TIFA; TIPIN; TMA16; TMEM237; TMEM37; TMEM47; TMX2; UBR7; UVRAG; WDHD1; WDR62; ZNF367","TS_Bone_Marrow_cd24 neutrophil; TS_Bone_Marrow_erythroid progenitor; TS_Bone_Marrow_granulocyte; TS_Bone_Marrow_macrophage; TS_Bone_Marrow_monocyte; TS_Bone_Marrow_myeloid progenitor; TS_Bone_Marrow_plasma cell",3.48035232977661e-06,5.45837678848664,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Pancreas",118,118,"ABHD6; AGT; APCS; APOL6; ARL15; ATM; B4GALNT1; BAAT; C11orf52; C16orf54; C8orf48; CCDC85A; CCL11; CCL22; CCL7; CD82; CDH19; COMMD5; CORO2A; DARS1; DDX6; DHH; DHRS9; DNTTIP2; DOC2B; EDNRB; EIF2S1; F5; F8; FADS2; FCGR2B; FNIP1; GC; GORAB; GTPBP4; H3-3B; HAL; HIGD1B; HP; HPGD; HSPB7; IGSF11; IKBKG; IMPA1; IPO11; ITGAL; ITIH3; KCNN3; LEPR; LPIN2; LY75; MCAM; MGAM; MORC3; MTM1; MUSK; MYL3; MYL4; MYLK; NCF1; NEK5; NEK6; NPY1R; NUDCD1; OTULIN; PCSK1; PDCD10; PDE12; PISD; PLAC8; PLP1; POLE3; PPP1R12A; PPP2R3C; PSMA6; PSMC4; PTPN22; PTPRR; RAB5A; RIOK3; RLIM; RNASE3; S1PR4; SCHIP1; SCYL2; SEC22A; SEMA3G; SFRP5; SLC10A6; SLC17A9; SLC5A3; SNAI3; SPN; ST6GAL1; STK26; SUCNR1; TANK; TARS1; TCEAL5; TCEAL7; THOC6; TMEM154; TMEM19; TMEM236; TNFSF8; TOR1A; TRNT1; TRPV2; TTLL7; UBA6; UBE2W; UNC13D; USP14; UTP3; VPS4B; XRCC4; ZMAT2; ZNF160","AdultPancreas_Enterocyte progenitor; Enge_2017_Pancreas_mesenchymal cell; Enge_2017_Pancreas_pancreatic ductal cell; Segerstolpe_2016_PancreaticIslets_beta cell; TS_Pancreas_endothelial cell; TS_Pancreas_myeloid cell; TS_Pancreas_nk cell; TS_Pancreas_pancreatic ductal cell; TS_Pancreas_pancreatic stellate cell",2.5370835176064e-06,5.59566523611347,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Lung",66,66,"ABAT; ABHD3; ACYP2; APOC2; APOL2; APOL4; BLOC1S3; CA2; CD22; CDK14; CHIA; CIR1; CMA1; CMAS; CYP2A13; DERL1; DHRS3; DTNBP1; DYNLT3; EDA2R; FBXO6; FHL1; GABRR2; GALNS; GALNT12; GCC2; GLOD4; GNGT2; GPA33; HAGH; KLHL29; LEPROTL1; MAN2B2; MOSPD1; MSRA; MUC2; MYO1A; NCK1; NLRP10; NTNG2; OAS3; ORAI2; PARP9; PBDC1; PLCG2; POLR3K; PPFIBP2; PRR32; PSD3; RABGGTB; RASAL2; RNASEL; RTCA; SAMD9L; SLC6A12; SLN; SMYD2; SNAPC5; SP140L; TMEM53; TNPO1; TTC39B; UGCG; UGP2; ZNF880; ZPR1","TS_Lung_basal cell; TS_Lung_basophil; TS_Lung_club cell; TS_Lung_intermediate monocyte; TS_Lung_macrophage; TS_Lung_non-classical monocyte; TS_Lung_respiratory goblet cell; TS_Lung_type ii pneumocyte",4.40601432283305e-06,5.35595409540194,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Spleen",59,59,"ACBD5; ACSM1; ACTR1A; ALAS2; AP3M1; APBA1; APOF; ATOH8; C10orf88; CCDC122; CLCA1; COL6A5; COPG2; CSMD1; EMC3; F3; FPGT; FSTL3; GTF3C3; HAAO; HHIPL1; HIP1R; KATNAL2; KLHL9; LHFPL1; LIN7A; LRP2BP; LRRC57; MRGPRX2; MSS51; MYO1H; NAPB; NIPA1; PDE8A; PROZ; PRR16; PTGFR; PVR; SLC25A33; SOX11; SPICE1; SRBD1; STK3; STRA6; TDRKH; TEKT1; TMBIM1; TMEM229B; TSGA10; UBD; VTI1B; WDR55; WNK3; XBP1; ZNF189; ZNF28; ZNF433; ZNF697; ZNF700","TS_Spleen_cd141-positive myeloid dendritic cell; TS_Spleen_cd1c-positive myeloid dendritic cell; TS_Spleen_cd8-positive, alpha-beta memory t cell; TS_Spleen_cd8-positive, alpha-beta t cell; TS_Spleen_classical monocyte; TS_Spleen_hematopoietic stem cell; TS_Spleen_innate lymphoid cell; TS_Spleen_intermediate monocyte; TS_Spleen_macrophage; TS_Spleen_mature nk t cell; TS_Spleen_memory b cell; TS_Spleen_naive thymus-derived cd8-positive, alpha-beta t cell; TS_Spleen_neutrophil; TS_Spleen_plasma cell",3.94508732914911e-06,5.40394337872889,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Prostate gland",50,50,"ACTR6; ALDH1A2; APOM; ARHGEF37; ATG4A; C14orf132; CA14; CAMK2D; CFAP36; COPS4; CPB2; CREB3; DCAF13; DMD; EIF4A2; EVA1A; FAM107A; FAM107B; FBP2; GPKOW; HOXB9; HSD17B6; IL18R1; IL1RL1; IRX3; MORF4L2; NRCAM; PODXL; PON3; PSMD12; RASL10B; RDH16; RORC; RPF1; RPF2; SBDS; SERPINF2; SRP54; STAP1; SYT9; TCAP; TCEAL1; TEAD4; TEX30; TMEM100; TMEM232; UAP1; USE1; VTN; ZNHIT2","TS_Prostate_epithelial cell; TS_Prostate_macrophage",6.21899255959235e-06,5.20627996277643,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Muscle organ",49,49,"AASS; ACTR3B; ADH1A; ANKRD1; APOL3; ARG1; ASB5; BMPER; C1QTNF7; C6orf89; CACNG1; CDC27; CDIPT; CHRNB1; CILP; EPHA7; F10; FEZ1; GDF10; KCNJ14; MEIOB; MIPOL1; MUSTN1; MYF6; MYO9A; MYOG; MYOT; OTUD6B; PCDH11X; PLA2G5; PRKAA1; SCN7A; SDK1; SETMAR; SGCD; SH2D6; SLC2A13; SLIT3; SRXN1; ST6GALNAC5; TEX10; TMEM128; TMEM132B; TMEM222; TRIM23; TRMT5; TSPAN31; USP33; ZNF761","TS_Muscle_endothelial cell of vascular tree; TS_Muscle_macrophage; TS_Muscle_mesenchymal stem cell; TS_Muscle_skeletal muscle satellite stem cell; TS_Muscle_slow muscle cell",1.10341252708146e-05,4.95726208978967,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Heart",45,45,"ABCC2; ABCC6; AGXT; AHSG; AKR1D1; ANGPTL3; APOA2; APOA5; C11orf98; CBS; CPN1; CTNNA3; CYP3A7; DIO1; ELOVL2; F2; F7; FGA; GLDC; GRB14; GUCA2A; HRG; ITIH1; ITIH2; KNG1; L1CAM; LGI1; LIPC; LUZP2; MYH7; RPP40; RYR2; SERPIND1; SLC15A5; SLC22A9; SMPX; TDO2; TMPRSS6; TMSB15A; TUBB2B; TUBB3; UNC13C; UTP14A; ZNF724; ZNF85","TS_Heart_cardiac muscle cell; TS_Heart_hepatocyte; TS_Heart_macrophage",2.10573285595039e-05,4.67659672647708,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Large intestine",45,45,"ATP9A; B3GALT1; B4GALNT2; BIN3; CASD1; CCL15; CHRNA9; COG1; GPLD1; HEPACAM2; HHIP; HOXA13; IGHV1-3; IGKV1-27; IGKV1-8; IGKV2-28; IGKV2D-28; ITIH4; KLRK1; MCOLN2; MT3; NAT1; NKD1; NLRP6; NXPE2; PLCXD2; POLB; RANBP6; RBM4; RDH11; RFESD; RNF17; SACM1L; SATB2; SLC23A3; TAF9B; TGS1; TMEM168; TTLL1; TTPA; UPRT; VPS13B; XYLB; ZG16; ZSCAN21","TS_Large_Intestine_b cell; TS_Large_Intestine_cd4-positive, alpha-beta t cell; TS_Large_Intestine_cd8-positive, alpha-beta t cell; TS_Large_Intestine_enterocyte of epithelium of large intestine; TS_Large_Intestine_immature enterocyte; TS_Large_Intestine_intestinal crypt stem cell; TS_Large_Intestine_intestinal enteroendocrine cell; TS_Large_Intestine_mast cell; TS_Large_Intestine_paneth cell of epithelium of large intestine; TS_Large_Intestine_plasma cell; TS_Large_Intestine_transit amplifying cell of large intestine",8.43293290242464e-06,5.07402135517185,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Kidney",41,41,"AASDHPPT; ALB; ALDH8A1; ANK2; BHMT; C15orf40; CALD1; CDKL2; CFL2; CLDN2; CTXN3; CYP4A11; DMGDH; FTCD; GBE1; HAO2; HOGA1; HPD; KCNJ15; LYRM1; MAP1LC3A; MICU2; NAPSA; NBN; NPR3; OGDHL; ORC4; PAH; PIPOX; PLCL1; PLEKHA5; PRODH2; PXDC1; RAI14; S100A1; SLC13A3; SLC6A13; SMARCA1; SORBS2; TXNDC9; UPB1","TS_Kidney_kidney epithelial cell",7.11054010504863e-06,5.1480974097156,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Mammary gland",27,27,"ABCB7; ALPK1; ANXA3; ATAD1; C4BPA; CRYZL1; CX3CL1; FAM174B; HSD17B7; IMMP2L; KDM3A; NMD3; PDK3; PIK3R3; PMPCB; PROM1; RIC3; RSPRY1; SAA4; SEC14L2; SERPINA3; SIAH1; SLC9A7; SPTBN1; ST8SIA6; TMCO4; USP54","TS_Mammary_luminal epithelial cell of mammary gland",7.99396095874094e-06,5.09723797709728,"JOB1565_YoungvOld_downregulated"
