"contrast","direction","Developmental_stage","primary_tissue","plotted_gene_n","human_symbol","primary_tissue_cell_type_name","primary_organ_system","primary_specific_cell_type","primary_general_cell_type","input_list_combined_p","input_list_combined_log10p","input_list_raw_p","input_list_permutated_p","input_list_rank_p","webcsea_job"
"old ID vs old CD","Downregulated","Adult","Blood",9,"ZDHHC21","TS_Blood_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0144927853051586,1.83884814134626,5.09288859355163e-11,0.27238659676222,0.00738007380073801,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Blood",9,"METTL18","TS_Blood_type i nk t cell","Lymphatic system","type i nk t cell","T cell",0.104035574670261,0.982818129536154,1.65589683625578e-06,0.368685304414402,0.0583025830258303,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Heart",8,"DFFA","TS_Heart_cardiac muscle cell","Cardiovascular system","cardiac muscle cell","Muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Heart",8,"DNM1L","TS_Heart_cardiac muscle cell","Cardiovascular system","cardiac muscle cell","Muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Heart",8,"EPHA7","TS_Heart_cardiac muscle cell","Cardiovascular system","cardiac muscle cell","Muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Heart",8,"G3BP2","TS_Heart_cardiac muscle cell","Cardiovascular system","cardiac muscle cell","Muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Heart",8,"HAGHL","TS_Heart_cardiac muscle cell","Cardiovascular system","cardiac muscle cell","Muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Heart",8,"LARP7","TS_Heart_cardiac muscle cell","Cardiovascular system","cardiac muscle cell","Muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Heart",8,"PBX3","TS_Heart_cardiac muscle cell","Cardiovascular system","cardiac muscle cell","Muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Heart",8,"PPHLN1","TS_Heart_cardiac muscle cell","Cardiovascular system","cardiac muscle cell","Muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Liver",7,"AHSG","MacParland_2018_liver_Hepatocyte","Digestive system","Hepatocyte","Hepatocyte",0.00700323976730266,2.1547010046196,0.00025978094638196,0.00765778521731756,0.113653136531365,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Liver",7,"F10","MacParland_2018_liver_Hepatocyte","Digestive system","Hepatocyte","Hepatocyte",0.00700323976730266,2.1547010046196,0.00025978094638196,0.00765778521731756,0.113653136531365,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Liver",7,"GC","MacParland_2018_liver_Hepatocyte","Digestive system","Hepatocyte","Hepatocyte",0.00700323976730266,2.1547010046196,0.00025978094638196,0.00765778521731756,0.113653136531365,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Liver",7,"LBP","MacParland_2018_liver_Hepatocyte","Digestive system","Hepatocyte","Hepatocyte",0.00700323976730266,2.1547010046196,0.00025978094638196,0.00765778521731756,0.113653136531365,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Liver",7,"RDH16","MacParland_2018_liver_Hepatocyte","Digestive system","Hepatocyte","Hepatocyte",0.00700323976730266,2.1547010046196,0.00025978094638196,0.00765778521731756,0.113653136531365,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Liver",7,"SERPINA1","MacParland_2018_liver_Hepatocyte","Digestive system","Hepatocyte","Hepatocyte",0.00700323976730266,2.1547010046196,0.00025978094638196,0.00765778521731756,0.113653136531365,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Liver",7,"TTR","MacParland_2018_liver_Hepatocyte","Digestive system","Hepatocyte","Hepatocyte",0.00700323976730266,2.1547010046196,0.00025978094638196,0.00765778521731756,0.113653136531365,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Caecum",6,"ATF5","AdultEpityphlon_B cell (Plasmocyte)","Digestive system","B cell (Plasmocyte)","B cell",0.00092330389336936,3.03465533311124,0.0007168810884069,0.00065873421224237,0.135793357933579,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Caecum",6,"CYB5R1","AdultEpityphlon_B cell (Plasmocyte)","Digestive system","B cell (Plasmocyte)","B cell",0.00092330389336936,3.03465533311124,0.0007168810884069,0.00065873421224237,0.135793357933579,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Caecum",6,"MIB1","AdultEpityphlon_B cell (Plasmocyte)","Digestive system","B cell (Plasmocyte)","B cell",0.00092330389336936,3.03465533311124,0.0007168810884069,0.00065873421224237,0.135793357933579,"JOB2770_IDvCD_downregulated"
