"contrast","direction","Developmental_stage","human_symbol","best_muscle_combined_p","best_muscle_combined_log10p","muscle_tissue_cell_type_hits","muscle_specific_cell_type_hits","muscle_general_cell_type_hits"
"old ID vs old CD","Upregulated","Adult","SAMHD1",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell; AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","mesenchymal stem cell; Dendritic cell; Macrophage","Mesenchymal stem cell; Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","SDK1",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","SLC43A3",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","SUSD1",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","SYNE3",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","TBC1D2B",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","TBC1D4",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","TNFSF10",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","ZNF217",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","AMN1",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","ANKS1A",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","CASP12",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","CCDC149",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","CLEC4M",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","GPM6A",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","GREM2",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","HID1",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","ITGB4",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","ITGB8",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel; AdultMuscle_Macrophage","endothelial cell of lymphatic vessel; Macrophage","Endothelial cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","KMT2E",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","MMRN1",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","MRC1",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel; AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","endothelial cell of lymphatic vessel; Dendritic cell; Macrophage","Endothelial cell; Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","NOTCH1",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","ODF2L",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","RELN",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","SOCS2",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","ZNF235",0.0147386139970601,1.83154335512896,"TS_Muscle_endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","Endothelial cell"
"old ID vs old CD","Upregulated","Adult","AOAH",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell","Dendritic cell","Dendritic cell"
"old ID vs old CD","Upregulated","Adult","C1QA",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","C1QC",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","CCR5",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell","Dendritic cell","Dendritic cell"
"old ID vs old CD","Upregulated","Adult","CD14",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","CD163",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","CLEC10A",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell","Dendritic cell","Dendritic cell"
"old ID vs old CD","Upregulated","Adult","CSF1R",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","CSF3R",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","F13A1",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","FCGR2A",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell","Dendritic cell","Dendritic cell"
"old ID vs old CD","Upregulated","Adult","FCN1",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell","Dendritic cell","Dendritic cell"
"old ID vs old CD","Upregulated","Adult","HBEGF",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell","Dendritic cell","Dendritic cell"
"old ID vs old CD","Upregulated","Adult","LAIR1",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","MMP9",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","MNDA",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell","Dendritic cell","Dendritic cell"
"old ID vs old CD","Upregulated","Adult","PHACTR1",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell","Dendritic cell","Dendritic cell"
"old ID vs old CD","Upregulated","Adult","RASSF2",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell","Dendritic cell","Dendritic cell"
"old ID vs old CD","Upregulated","Adult","S100A9",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","SIGLEC1",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","STAB1",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","TGFBI",0.0248666757845053,1.60438226800465,"AdultMuscle_Dendritic cell; AdultMuscle_Macrophage","Dendritic cell; Macrophage","Dendritic cell; Macrophage"
"old ID vs old CD","Upregulated","Adult","BUB1B",0.026955245519626,1.56935670808194,"AdultMuscle_Macrophage","Macrophage","Macrophage"
"old ID vs old CD","Upregulated","Adult","DUS3L",0.026955245519626,1.56935670808194,"AdultMuscle_Macrophage","Macrophage","Macrophage"
"old ID vs old CD","Upregulated","Adult","HLA-A",0.026955245519626,1.56935670808194,"AdultMuscle_Macrophage","Macrophage","Macrophage"
"old ID vs old CD","Upregulated","Adult","TLR8",0.026955245519626,1.56935670808194,"AdultMuscle_Macrophage","Macrophage","Macrophage"
"old ID vs old CD","Upregulated","Adult","TMPO",0.026955245519626,1.56935670808194,"AdultMuscle_Macrophage","Macrophage","Macrophage"
"old ID vs old CD","Upregulated","Fetal","ABCA6",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell","Stromal cells; Fetal stromal cell","Stromal cell"
"old ID vs old CD","Upregulated","Fetal","ABCA9",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell","Stromal cells; Fetal stromal cell","Stromal cell"
"old ID vs old CD","Upregulated","Fetal","ADAMTSL3",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell","Stromal cells; Fetal stromal cell","Stromal cell"
"old ID vs old CD","Upregulated","Fetal","B4GALT1",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell","Stromal cells; Fetal stromal cell","Stromal cell"
"old ID vs old CD","Upregulated","Fetal","BGN",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; Fetal_HCA_Muscle_Smooth muscle cells","Stromal cells; Smooth muscle cells","Stromal cell; Smooth muscle cell"
"old ID vs old CD","Upregulated","Fetal","CDH11",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell; Fetal_HCA_Muscle_Smooth muscle cells","Stromal cells; Fetal stromal cell; Smooth muscle cells","Stromal cell; Smooth muscle cell"
"old ID vs old CD","Upregulated","Fetal","CLEC11A",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells","Stromal cells","Stromal cell"
"old ID vs old CD","Upregulated","Fetal","CLEC3B",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; Fetal_HCA_Muscle_Vascular endothelial cells","Stromal cells; Vascular endothelial cells","Stromal cell; Endothelial cell"
"old ID vs old CD","Upregulated","Fetal","CNTFR",0.00015657134123014,3.80528772813135,"Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell","Stromal cells; Fetal stromal cell","Stromal cell"
