"Tissue_cell_type_name","Developmental_stage","Organ_system","Tissue","Specific_cell_type","General_cell_type","Cell_Ontology_ID","General_tissue_name","Uber_anatomy_ontology_ID","input_list_raw_p","input_list_permutated_p","input_list_rank_p","input_list_combined_p","input_list_combined_log10p","delabel","webcsea_job","contrast","direction"
"AdultFallopiantube_Stratified epithelial cell","Adult","Reproductive system","AdultFallopiantube","Stratified epithelial cell","Epithelial cell","CL:0000066","Fallopian tube","UBERON:0003889",0.695839478738233,0.74317570407419,0.85719557195572,0.924299001854974,0.0341875159551864,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"Fetal_HCA_Spleen_Erythroblasts","Fetal","Lymphatic system","Fetal_HCA_Spleen","Erythroblasts","Erythroblast","CL:0000765","Spleen","UBERON:0002106",0.742487604257484,0.733953425102796,0.869741697416974,0.92488519729343,0.0339121713433481,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalBrain_Fetal epithelial progenitor","Fetal","Nervous system","FetalBrain","Fetal epithelial progenitor","Epithelial fate stem cell","CL:0000036","Brain","UBERON:0000955",0.734638685001676,0.736464849286971,0.86789667896679,0.925255204486238,0.0337384633543882,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultSigmoidColon_T cell","Adult","Digestive system","AdultSigmoidColon","T cell","T cell","CL:0000084","Sigmoid colon","UBERON:0001159",0.747662098731811,0.732841811119638,0.872324723247232,0.925300237606291,0.0337173263107732,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"Lake_2017_FrontalCortex_Ex3e","Adult","Nervous system","Lake_2017_FrontalCortex","Ex3e","Excitatory neuron","CL:0008030","Frontal cortex","UBERON:0001870",0.614402169910585,0.762978901329726,0.838376383763838,0.925473478102072,0.03363602259337,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Large_Intestine_plasma cell","Adult","Digestive system","TS_Large_Intestine","plasma cell","Plasma cell","CL:0000786","Large intestine","UBERON:0000059",0.551980488780928,0.781917509931694,0.818081180811808,0.92547727936879,0.0336342387866931,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalIntestine_Enterocyte progenitor","Fetal","Digestive system","FetalIntestine","Enterocyte progenitor","Enterocyte","CL:0000584","Intestine","UBERON:0000160",0.701303262381965,0.746181178917546,0.859040590405904,0.926069216579957,0.0333565519192406,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultEsophagus_B cell","Adult","Digestive system","AdultEsophagus","B cell","B cell","CL:0000236","Esophagus","UBERON:0001043",0.707628463666868,0.744122634504288,0.861623616236162,0.926137559100595,0.0333245028197603,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalKidney_Primordial germ cell","Fetal","Urinary system","FetalKidney","Primordial germ cell","Primordial germ cell","CL:0000670","Kidney","UBERON:0002113",0.729367978304528,0.740787792554811,0.865682656826568,0.926196888166854,0.0332966824807934,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"Fetal_HCA_Spleen_AFP_ALB positive cells","Fetal","Lymphatic system","Fetal_HCA_Spleen","AFP_ALB positive cells","Hepatocyte","CL:0000182","Spleen","UBERON:0002106",0.742487604257484,0.738029343041046,0.869741697416974,0.926466609830167,0.0331702281829882,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultEsophagus_Stratified epithelial cell","Adult","Digestive system","AdultEsophagus","Stratified epithelial cell","Epithelial cell","CL:0000066","Esophagus","UBERON:0001043",0.707628463666868,0.744987223157856,0.861623616236162,0.926468246466601,0.0331694609869158,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalMuscle_Erythroid cell","Fetal","Muscular system","FetalMuscle","Erythroid cell","Erythroid lineage cell","CL:0000764","Muscle organ","UBERON:0001630",0.75023206649914,0.73621782395738,0.873062730627306,0.926851475211805,0.0329898544896944,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalStomach_Fetal neuron","Fetal","Digestive system","FetalStomach","Fetal neuron","Neuron","CL:0000540","Stomach","UBERON:0000945",0.70192367009036,0.747704501783356,0.860516605166052,0.9271374598175,0.0328558714493418,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Large_Intestine_transit amplifying cell of large intestine","Adult","Digestive system","TS_Large_Intestine","transit amplifying cell of large intestine","Transit amplifying cell","CL:0009010","Large intestine","UBERON:0000059",0.551980488780928,0.786858016523512,0.818081180811808,0.927270383758015,0.0327936109987323,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultEpityphlon_B cell (Plasmocyte)","Adult","Digestive system","AdultEpityphlon","B cell (Plasmocyte)","B cell","CL:0000236","Caecum","UBERON:0001153",0.81645309256918,0.719090734439078,0.89520295202952,0.927278494424134,0.0327898123201625,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Spleen_plasma cell","Adult","Lymphatic system","TS_Spleen","plasma cell","Plasma cell","CL:0000786","Spleen","UBERON:0002106",0.552121955277222,0.787887288730141,0.819188191881919,0.928023222764282,0.0324411559016211,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"Lake_2017_VisualCortex_Ex3c","Adult","Nervous system","Lake_2017_VisualCortex","Ex3c","Excitatory neuron","CL:0008030","Visual cortex","UBERON:0000411",0.650902081930929,0.762526021558809,0.846494464944649,0.92804340262658,0.0324317122720422,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Tongue_keratinocyte","Adult","Digestive system","TS_Tongue","keratinocyte","Keratinocyte","CL:0000312","Tongue","UBERON:0001723",0.552430433699144,0.787393238070959,0.819926199261993,0.928100425860752,0.0324050280511657,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalMaleGonad_Fetal epithelial progenitor","Fetal","Reproductive system","FetalMaleGonad","Fetal epithelial progenitor","Epithelial fate stem cell","CL:0000036","Immature gonad","UBERON:2005272",0.701445080955797,0.754168331240984,0.859778597785978,0.929325379317105,0.0318322023670118,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultKidney_Intercalated cell","Adult","Urinary system","AdultKidney","Intercalated cell","Renal intercalated cell","CL:0005010","Kidney","UBERON:0002113",0.713089413972114,0.752974375481295,0.863837638376384,0.930201562514859,0.0314229353136324,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"MacParland_2018_liver_Hepatocyte","Adult","Digestive system","MacParland_2018_liver","Hepatocyte","Hepatocyte","CL:0000182","Liver","UBERON:0002107",0.734168374041282,0.753303742587416,0.866420664206642,0.931156992697218,0.0309770909691108,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalEyes_Primordial germ cell","Fetal","Sensory system","FetalEyes","Primordial germ cell","Primordial germ cell","CL:0000670","Eye","UBERON:0000970",0.773851396991821,0.745934153587955,0.877490774907749,0.93195321319974,0.0306058899627712,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
