"contrast","direction","Developmental_stage","human_symbol","primary_tissue","primary_organ_system","primary_specific_cell_type","primary_general_cell_type","primary_tissue_cell_type_name","input_list_combined_p","input_list_combined_log10p","input_list_raw_p","input_list_permutated_p","input_list_rank_p","webcsea_job"
"old ID vs old CD","Downregulated","Adult","NFIB","Small intestine","Digestive system","immature enterocyte","Enterocyte","TS_Small_Intestine_immature enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","NME1","Spleen","Lymphatic system","Plasma_IgG","Plasma cell","Madissoon_2020_spleen_Plasma_IgG",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","NPR3","Visual cortex","Nervous system","In2","Inhibitory neuron","Lake_2017_VisualCortex_In2",0.00988343700689387,2.00509200140868,8.54303798678548e-05,0.0134628804627035,0.0959409594095941,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","NR3C2","Small intestine","Digestive system","paneth cell of epithelium of small intestine","Paneth cell","TS_Small_Intestine_paneth cell of epithelium of small intestine",0.00977743161004985,2.00977521311368,9.53816188965385e-12,0.246942987814359,0.00516605166051661,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","NSUN4","Visual cortex","Nervous system","In2","Inhibitory neuron","Lake_2017_VisualCortex_In2",0.00988343700689387,2.00509200140868,8.54303798678548e-05,0.0134628804627035,0.0959409594095941,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Fetal","NUCKS1","Placenta","Reproductive system","AFP_ALB positive cells","Hepatocyte","Fetal_HCA_Placenta_AFP_ALB positive cells",0.00298641741363326,2.52484949072748,0.0001779227832735,0.00337601283774215,0.0981549815498155,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","NUDT1","Spleen","Lymphatic system","plasma cell","Plasma cell","TS_Spleen_plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","NUDT4","Spleen","Lymphatic system","Plasma_IgG","Plasma cell","Madissoon_2020_spleen_Plasma_IgG",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","NULL","Prostate gland","Reproductive system","monocyte","Monocyte","TS_Prostate_monocyte",0.980198566940617,0.00868593676547979,1,0.808308049309654,0.999261992619926,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","OSTM1","Blood","Lymphatic system","classical monocyte","Monocyte","TS_Blood_classical monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","OTUB2","Lymph node","Lymphatic system","macrophage","Macrophage","TS_Lymph_Node_macrophage",0.0313811029351058,1.5033317965613,1.24306087186438e-09,0.281114825074432,0.0177121771217712,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","PAQR7","Small intestine","Digestive system","immature enterocyte","Enterocyte","TS_Small_Intestine_immature enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","PBX3","Heart","Cardiovascular system","cardiac muscle cell","Muscle cell","TS_Heart_cardiac muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","PDE12","Visual cortex","Nervous system","In2","Inhibitory neuron","Lake_2017_VisualCortex_In2",0.00988343700689387,2.00509200140868,8.54303798678548e-05,0.0134628804627035,0.0959409594095941,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","PDS5A","Blood","Lymphatic system","classical monocyte","Monocyte","TS_Blood_classical monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","PIGK","Spleen","Lymphatic system","Plasma_IgG","Plasma cell","Madissoon_2020_spleen_Plasma_IgG",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","PIGV","Saliva-secreting gland","Digestive system","acinar cell of salivary gland","Acinar cell","TS_Salivary_Gland_acinar cell of salivary gland",0.0833999624068152,1.07883414512385,1.45867008416616e-06,0.33212555563495,0.0490774907749078,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","PIK3R3","Skin of body","Integumentary system","endothelial cell","Endothelial cell","TS_Skin_endothelial cell",0.0174599064069298,1.75795808864092,2.52699312820156e-10,0.281938242839735,0.00885608856088561,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","PKP2","Small intestine","Digestive system","immature enterocyte","Enterocyte","TS_Small_Intestine_immature enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","PPHLN1","Heart","Cardiovascular system","cardiac muscle cell","Muscle cell","TS_Heart_cardiac muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
