plate,assay_group,well_id,raw_sample_id,sample,sample_suffix,sampling_tissue,sampling_time,sampling_month,diet,cohort,animal,age,group,cytokine,concentration_pg_ml,mfi
Plate 1,Unknown Group 1,25,1M6_sys_sac,1M6,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,6,Old,Old ID,IL-17A,12.814446799875316,3328.30371
Plate 1,Unknown Group 1,25,1M6_sys_sac,1M6,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,6,Old,Old ID,IL-17F,N/A,1297.72559
Plate 1,Unknown Group 1,25,1M6_sys_sac,1M6,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,6,Old,Old ID,IL-1a,26.066312950599027,4280.94971
Plate 1,Unknown Group 1,25,1M6_sys_sac,1M6,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,6,Old,Old ID,IL-6,26.648825996955747,3481.05835
Plate 1,Unknown Group 1,25,1M6_sys_sac,1M6,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,6,Old,Old ID,IL-7,2.5477463523373465,4585.66553
Plate 1,Unknown Group 1,25,1M6_sys_sac,1M6,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,6,Old,Old ID,TNF-alpha,9.86102633625773,1626.25085
Plate 1,Unknown Group 1,26,1M7_sys_sac,1M7,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,7,Old,Old ID,GDF-15,175.72874966233,35177.78516
Plate 1,Unknown Group 1,26,1M7_sys_sac,1M7,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,7,Old,Old ID,IFN-gamma,13.45540521498092,1822.49255
Plate 1,Unknown Group 1,26,1M7_sys_sac,1M7,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,7,Old,Old ID,IL-10,N/A,3424.21948
Plate 1,Unknown Group 1,26,1M7_sys_sac,1M7,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,7,Old,Old ID,IL-17A,N/A,3048.00439
Plate 1,Unknown Group 1,26,1M7_sys_sac,1M7,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,7,Old,Old ID,IL-17F,N/A,1846.1803
Plate 1,Unknown Group 1,26,1M7_sys_sac,1M7,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,7,Old,Old ID,IL-1a,N/A,1950.86621
Plate 1,Unknown Group 1,26,1M7_sys_sac,1M7,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,7,Old,Old ID,IL-6,20.169297065345663,3303.2793
Plate 1,Unknown Group 1,26,1M7_sys_sac,1M7,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,7,Old,Old ID,IL-7,2.1264227581169783,4212.18848
Plate 1,Unknown Group 1,26,1M7_sys_sac,1M7,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,7,Old,Old ID,TNF-alpha,8.105120393216293,1512.23694
Plate 1,Unknown Group 1,27,1M9_sys_sac,1M9,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,9,Old,Old ID,GDF-15,669.743133000196,120830.39062
Plate 1,Unknown Group 1,27,1M9_sys_sac,1M9,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,9,Old,Old ID,IFN-gamma,43.1331438312647,2763.95239
Plate 1,Unknown Group 1,27,1M9_sys_sac,1M9,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,9,Old,Old ID,IL-10,N/A,3212.45996
Plate 1,Unknown Group 1,27,1M9_sys_sac,1M9,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,9,Old,Old ID,IL-17A,N/A,3237.177
Plate 1,Unknown Group 1,27,1M9_sys_sac,1M9,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,9,Old,Old ID,IL-17F,N/A,1623.22021
Plate 1,Unknown Group 1,27,1M9_sys_sac,1M9,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,9,Old,Old ID,IL-1a,8.102720967125885,2651.6897
Plate 1,Unknown Group 1,27,1M9_sys_sac,1M9,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,9,Old,Old ID,IL-6,377.91436816350176,13671.38867
Plate 1,Unknown Group 1,27,1M9_sys_sac,1M9,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,9,Old,Old ID,IL-7,N/A,2182.92554
Plate 1,Unknown Group 1,27,1M9_sys_sac,1M9,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,9,Old,Old ID,TNF-alpha,20.049690354111128,2323.75781
Plate 1,Unknown Group 1,97,2M12_17mon,2M12,17mon,systemic blood,intermediary month sample,17,N/A,2,12,N/A,N/A,GDF-15,311.2180553859,59183.32422
Plate 1,Unknown Group 1,97,2M12_17mon,2M12,17mon,systemic blood,intermediary month sample,17,N/A,2,12,N/A,N/A,IFN-gamma,N/A,1245.63989
Plate 1,Unknown Group 1,97,2M12_17mon,2M12,17mon,systemic blood,intermediary month sample,17,N/A,2,12,N/A,N/A,IL-10,N/A,2460.61597
Plate 1,Unknown Group 1,97,2M12_17mon,2M12,17mon,systemic blood,intermediary month sample,17,N/A,2,12,N/A,N/A,IL-17A,N/A,2995.87573
Plate 1,Unknown Group 1,97,2M12_17mon,2M12,17mon,systemic blood,intermediary month sample,17,N/A,2,12,N/A,N/A,IL-17F,N/A,1464.96167
Plate 1,Unknown Group 1,97,2M12_17mon,2M12,17mon,systemic blood,intermediary month sample,17,N/A,2,12,N/A,N/A,IL-1a,924.2060520569383,93972.61719
Plate 1,Unknown Group 1,97,2M12_17mon,2M12,17mon,systemic blood,intermediary month sample,17,N/A,2,12,N/A,N/A,IL-6,472.0991348660892,16473.88281
Plate 1,Unknown Group 1,97,2M12_17mon,2M12,17mon,systemic blood,intermediary month sample,17,N/A,2,12,N/A,N/A,IL-7,N/A,2295.91724
Plate 1,Unknown Group 1,97,2M12_17mon,2M12,17mon,systemic blood,intermediary month sample,17,N/A,2,12,N/A,N/A,TNF-alpha,12.506340456013197,1802.0929
Plate 1,Unknown Group 1,98,2M13_17mon,2M13,17mon,systemic blood,intermediary month sample,17,N/A,2,13,N/A,N/A,GDF-15,198.34678393976,39227.51172
Plate 1,Unknown Group 1,98,2M13_17mon,2M13,17mon,systemic blood,intermediary month sample,17,N/A,2,13,N/A,N/A,IFN-gamma,18.38572080967895,1976.71265
Plate 1,Unknown Group 1,98,2M13_17mon,2M13,17mon,systemic blood,intermediary month sample,17,N/A,2,13,N/A,N/A,IL-10,N/A,2960.65869
Plate 1,Unknown Group 1,98,2M13_17mon,2M13,17mon,systemic blood,intermediary month sample,17,N/A,2,13,N/A,N/A,IL-17A,24.95506822584522,3498.72046
Plate 1,Unknown Group 1,98,2M13_17mon,2M13,17mon,systemic blood,intermediary month sample,17,N/A,2,13,N/A,N/A,IL-17F,N/A,2065.75928
Plate 1,Unknown Group 1,98,2M13_17mon,2M13,17mon,systemic blood,intermediary month sample,17,N/A,2,13,N/A,N/A,IL-1a,5522.267037377402,515009.875
Plate 1,Unknown Group 1,98,2M13_17mon,2M13,17mon,systemic blood,intermediary month sample,17,N/A,2,13,N/A,N/A,IL-6,862.4867038440451,28232.30273
Plate 1,Unknown Group 1,98,2M13_17mon,2M13,17mon,systemic blood,intermediary month sample,17,N/A,2,13,N/A,N/A,IL-7,1.5945658631133477,3735.99048
Plate 1,Unknown Group 1,98,2M13_17mon,2M13,17mon,systemic blood,intermediary month sample,17,N/A,2,13,N/A,N/A,TNF-alpha,11.049724848238736,1704.71179
Plate 1,Unknown Group 1,99,2M14_17mon,2M14,17mon,systemic blood,intermediary month sample,17,N/A,2,14,N/A,N/A,GDF-15,266.441288598699,51311.15625
Plate 1,Unknown Group 1,99,2M14_17mon,2M14,17mon,systemic blood,intermediary month sample,17,N/A,2,14,N/A,N/A,IFN-gamma,29.116997635678658,2315.93091
Plate 1,Unknown Group 1,99,2M14_17mon,2M14,17mon,systemic blood,intermediary month sample,17,N/A,2,14,N/A,N/A,IL-10,N/A,2651.41821
Plate 1,Unknown Group 1,99,2M14_17mon,2M14,17mon,systemic blood,intermediary month sample,17,N/A,2,14,N/A,N/A,IL-17A,18.36635868027657,3404.3916
Plate 1,Unknown Group 1,99,2M14_17mon,2M14,17mon,systemic blood,intermediary month sample,17,N/A,2,14,N/A,N/A,IL-17F,N/A,3902.46167
Plate 1,Unknown Group 1,99,2M14_17mon,2M14,17mon,systemic blood,intermediary month sample,17,N/A,2,14,N/A,N/A,IL-1a,1609.130783045141,162237.90625
Plate 1,Unknown Group 1,99,2M14_17mon,2M14,17mon,systemic blood,intermediary month sample,17,N/A,2,14,N/A,N/A,IL-6,59.7202687872724,4403.58398
Plate 1,Unknown Group 1,99,2M14_17mon,2M14,17mon,systemic blood,intermediary month sample,17,N/A,2,14,N/A,N/A,IL-7,2.1957613171970487,4273.85938
Plate 1,Unknown Group 1,99,2M14_17mon,2M14,17mon,systemic blood,intermediary month sample,17,N/A,2,14,N/A,N/A,TNF-alpha,12.483605768389497,1800.56323
Plate 1,Unknown Group 1,100,2M15_17mon,2M15,17mon,systemic blood,intermediary month sample,17,N/A,2,15,N/A,N/A,GDF-15,153.06970938850299,31098.9668
Plate 1,Unknown Group 1,100,2M15_17mon,2M15,17mon,systemic blood,intermediary month sample,17,N/A,2,15,N/A,N/A,IFN-gamma,N/A,1374.20654
Plate 1,Unknown Group 1,100,2M15_17mon,2M15,17mon,systemic blood,intermediary month sample,17,N/A,2,15,N/A,N/A,IL-10,N/A,3153.10498
Plate 1,Unknown Group 1,100,2M15_17mon,2M15,17mon,systemic blood,intermediary month sample,17,N/A,2,15,N/A,N/A,IL-17A,N/A,3200.92334
Plate 1,Unknown Group 1,100,2M15_17mon,2M15,17mon,systemic blood,intermediary month sample,17,N/A,2,15,N/A,N/A,IL-17F,N/A,2046.26025
Plate 1,Unknown Group 1,100,2M15_17mon,2M15,17mon,systemic blood,intermediary month sample,17,N/A,2,15,N/A,N/A,IL-1a,1271.2041295016045,128737.79688
Plate 1,Unknown Group 1,100,2M15_17mon,2M15,17mon,systemic blood,intermediary month sample,17,N/A,2,15,N/A,N/A,IL-6,N/A,2454.49023
Plate 1,Unknown Group 1,100,2M15_17mon,2M15,17mon,systemic blood,intermediary month sample,17,N/A,2,15,N/A,N/A,IL-7,1.3435330657962403,3508.94897
Plate 1,Unknown Group 1,100,2M15_17mon,2M15,17mon,systemic blood,intermediary month sample,17,N/A,2,15,N/A,N/A,TNF-alpha,14.875470525533713,1963.04614
Plate 1,Unknown Group 1,101,2M16_17mon,2M16,17mon,systemic blood,intermediary month sample,17,CD,2,16,Old,Old CD,GDF-15,175.213656388365,35085.31641
Plate 1,Unknown Group 1,101,2M16_17mon,2M16,17mon,systemic blood,intermediary month sample,17,CD,2,16,Old,Old CD,IFN-gamma,N/A,1120.52551
