Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
Fetal_HCA_Spleen_AFP_ALB positive cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	AFP_ALB positive cells	Hepatocyte	CL:0000182	Spleen	UBERON:0002106	0.742487604257484	0.738029343041046	0.869741697416974	0.926466609830167	0.0331702281829882	NA
AdultEsophagus_Stratified epithelial cell	Adult	Digestive system	AdultEsophagus	Stratified epithelial cell	Epithelial cell	CL:0000066	Esophagus	UBERON:0001043	0.707628463666868	0.744987223157856	0.861623616236162	0.926468246466601	0.0331694609869158	NA
FetalMuscle_Erythroid cell	Fetal	Muscular system	FetalMuscle	Erythroid cell	Erythroid lineage cell	CL:0000764	Muscle organ	UBERON:0001630	0.75023206649914	0.73621782395738	0.873062730627306	0.926851475211805	0.0329898544896944	NA
FetalStomach_Fetal neuron	Fetal	Digestive system	FetalStomach	Fetal neuron	Neuron	CL:0000540	Stomach	UBERON:0000945	0.70192367009036	0.747704501783356	0.860516605166052	0.9271374598175	0.0328558714493418	NA
TS_Large_Intestine_transit amplifying cell of large intestine	Adult	Digestive system	TS_Large_Intestine	transit amplifying cell of large intestine	Transit amplifying cell	CL:0009010	Large intestine	UBERON:0000059	0.551980488780928	0.786858016523512	0.818081180811808	0.927270383758015	0.0327936109987323	NA
AdultEpityphlon_B cell (Plasmocyte)	Adult	Digestive system	AdultEpityphlon	B cell (Plasmocyte)	B cell	CL:0000236	Caecum	UBERON:0001153	0.81645309256918	0.719090734439078	0.89520295202952	0.927278494424134	0.0327898123201625	NA
TS_Spleen_plasma cell	Adult	Lymphatic system	TS_Spleen	plasma cell	Plasma cell	CL:0000786	Spleen	UBERON:0002106	0.552121955277222	0.787887288730141	0.819188191881919	0.928023222764282	0.0324411559016211	NA
Lake_2017_VisualCortex_Ex3c	Adult	Nervous system	Lake_2017_VisualCortex	Ex3c	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411	0.650902081930929	0.762526021558809	0.846494464944649	0.92804340262658	0.0324317122720422	NA
TS_Tongue_keratinocyte	Adult	Digestive system	TS_Tongue	keratinocyte	Keratinocyte	CL:0000312	Tongue	UBERON:0001723	0.552430433699144	0.787393238070959	0.819926199261993	0.928100425860752	0.0324050280511657	NA
FetalMaleGonad_Fetal epithelial progenitor	Fetal	Reproductive system	FetalMaleGonad	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Immature gonad	UBERON:2005272	0.701445080955797	0.754168331240984	0.859778597785978	0.929325379317105	0.0318322023670118	NA
