"","gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design"
"1160","Gm12764",0.139295868495009,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1161","Gm13243",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1162","Gm13360",0.144609686240202,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1163","Gm14402",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1164","Gm14717",0.14101992355719,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1165","Gm15530",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1166","Gm15597",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1167","Gm15614",0.145632747030712,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1168","Gm15734",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1169","Gm15738",0.139295868495009,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1170","Gm15907",0.135307595463755,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1171","Gm16054",0.135307595463755,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1172","Gm17139",0.135307595463755,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1173","Gm20702",0.135307595463755,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1174","Gm26619",0.1495916188232,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1175","Gm26871",0.144609686240202,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1176","Gm27172",0.160221625433022,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1177","Gm3551",0.160221625433022,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1178","Gm4825",0.144609686240202,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1179","Gm6610",0.139295868495009,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1180","Gm6931",0.160221625433022,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1181","Gm8374",0.160221625433022,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1182","Gm9845",0.141064895018836,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1183","Hist1h4b",0.135307595463755,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1184","Ighv1-11",0.139295868495009,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1185","Ighv7-4",0.160221625433022,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1186","Klrb1",0.139295868495009,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1187","Nr0b1",0.15479559855414,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1188","Oas1d",0.135307595463755,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1189","Olfr1364",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1190","Pcdh8",0.153056763089304,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1191","Pde6h",0.134960182264877,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1192","Prss43",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1193","RP23-353G11.6",0.144609686240202,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1194","RP23-93D12.1",0.154159470835076,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1195","RP24-127D13.2",0.134715649386112,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1196","RP24-221A23.7",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1197","RP24-242P4.3",0.150200599042587,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1198","RP24-252G15.3",0.149324600213612,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1199","RP24-299B14.3",0.160221625433022,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1200","RP24-388H18.1",0.149813665971142,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1201","Skint8",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1202","Slc25a54",0.144609686240202,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1203","Slc5a10",0.149324600213612,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1204","Slc5a11",0.160221625433022,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1205","Synb",0.135307595463755,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1206","Tdh",0.135307595463755,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1207","Trav3-3",0.136439704448292,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1208","Trpa1",0.135307595463755,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1209","Tuba3a",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1210","Tubb4b-ps2",0.160221625433022,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1211","Ugt1a10",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1212","Ugt1a8",0.135307595463755,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1213","Vmn1r-ps144",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1214","Vmn1r46",0.135307595463755,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1215","Wfdc13",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1216","Zbtb8b",0.144609686240202,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1217","1700023F06Rik",0.14389857333473,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1218","Gm12103",0.141286942166778,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1219","RP24-549O22.4",0.14389857333473,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1220","Tas2r135",0.148466425346605,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1221","Tfap2b",0.148466425346605,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1222","Gm16130",0.143612272120178,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1223","Gm8495",0.138408292389238,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1224","Npb",0.143612272120178,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1225","Olfr433",0.138186245241296,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1226","Ccdc33",1.03360845072564,1.16217694680961,1.16626892042637,0.996491397871377,0.319011444584546,NA,"~diet"
"1227","Gm26620",1.73931641560859,1.16196919797407,0.907068529651576,1.28101588798413,0.200188085580479,0.629900390799455,"~diet"
"1228","Gm12230",0.656058771828526,1.1619689628987,1.40851538453603,0.824960078999388,0.409394255541443,NA,"~diet"
"1229","Sapcd2",1.18865526220265,1.16175768060805,1.09075628588394,1.065093729592,0.286833516529896,NA,"~diet"
"1230","Ms4a6c",62.1732218314153,1.1614844372914,0.361138664569574,3.21617304166454,0.00129912472801254,0.180634289626584,"~diet"
"1231","Cd27",5.32354505572837,1.16002685965,0.819745711331579,1.41510573780945,0.157037496137431,0.580246731204788,"~diet"
"1232","Ikzf1",70.6871521817891,1.15958434531168,0.393919850098793,2.94370630223601,0.00324307597767691,0.190133491295279,"~diet"
"1233","Myl3",1109.93077830075,1.15895235278632,0.897495747316993,1.29131793242579,0.196593454934029,0.625966672321733,"~diet"
"1234","Gpr132",13.7264535543901,1.15881028000338,0.569370775371924,2.03524720643842,0.041826005314919,0.383644074857062,"~diet"
"1235","Ang2",0.293168455800663,1.15830474802246,2.12780241425681,0.544366685676041,0.586189166024181,NA,"~diet"
"1236","Slc15a5",12.2727764109797,1.15796145411995,0.681347294735943,1.69951721107033,0.089221774497013,0.482061710102667,"~diet"
"1237","Fgr",16.6968532819655,1.15754071263874,0.420394438072454,2.75346343292781,0.00589683572917468,0.223590878031397,"~diet"
