CJ,HMDB Name,Formula,RT,Detected.in,confirmation,HMDB ID,other ID,Classification
CJ1444,dctp,C9H16N3O13P3,,,,HMDB0000998,,"Nucleosides, nucleotides, and analogues  "
CJ1445,decenoyl-coa isomer,C31H52N7O17P3S,,,,,,Glycolysis
CJ1446,decyloxybenzene-sulfonic acid isomer,C16H26O4S,,,,,,
CJ1447,decylubiquinone  isomer,C19H30O4,,,,,,
CJ1448,dedimethylchlorpromazine,C15H15ClN2S,,,,HMDB0061134,,
CJ1449,dehydrocarnitine,C7H13NO3,13.724,,,,,carnitine
CJ1450,dehydrocholate isomer,C24H34O5,,,,,,Bile acids 
CJ1451,dehydrogeissoschizine  isomer,C19H21N5O2,,,,,,
CJ1452,dehydroglutathione isomer,C10H15N3O6S,,,,,,
CJ1453,vitamin a2 aldehyde,C20H26O,,,,HMDB0035695,,Retinoids  
CJ1454,demeton-s-methyl sulfone isomer,C6H15O5PS2,,,,,,
CJ1455,deoxynivalenol,C15H20O6,,,,HMDB0036156,,
CJ1456,deoxyribose 5-phosphate,C5H11O7P,,,,HMDB0001031,,Carbohydrates and carbohydrate conjugates  
CJ1457,deoxy-thioinosine monophosphate isomer,C10H13N4O7PS,,,,,,
CJ1458,dephospho-coa,C21H35N7O13P2S,,,,HMDB0001373,,CoAs  
CJ1459,d-glucoside isomer,C7H14O6,,,,,METPA0222,
CJ1460,d-glucuronic acid 1-phosphate,C6H11O10P,,,,HMDB0003976,,Carbohydrates and carbohydrate conjugates  
CJ1461,d-glycero-l-galacto-octulose,C8H16O8,,,,HMDB0029954,,Carbohydrates and carbohydrate conjugates  
CJ1462,dibenzothiopyran  isomer,C13H10S,,,,,,
CJ1463,dicaffeoylputrescine,C22H24N2O6,,,,HMDB0033467,,
CJ1464,diethyl tartrate,C8H14O6,,,,HMDB0033584,,
CJ1465,diethylcarbamazine n-oxide  isomer,C10H21N3O2,,,,,,
CJ1466,diethylthiophosphate,C4H11O3PS,,,,HMDB0001460,,
CJ1467,digalacturonate isomer,C12H18O13,,,,,,
CJ1468,dihete  isomer,C20H32O4,,,,,,
CJ1469,dihydro prostaglandin f1 isomer,C20H38O5,,,,,,
CJ1470,dihydroactinidiolide,C11H16O2,,,,HMDB0035240,,
CJ1471,dihydrocarvone,C10H16O,,,,HMDB0036079,,
CJ1472,dihydroceramide,C20H41NO3,,,,HMDB0006752,,
CJ1473,dihydroergotamine,C33H37N5O5,,,,HMDB0014465,,
CJ1474,dihydromorelloflavone  isomer,C30H22O11,,,,,,
CJ1475,dihydronaringenin-o-sulphate,C15H14O8S,,,,HMDB0059996,,
CJ1476,dihydronepetalactone,C10H16O2,,,,HMDB0035829,,
CJ1477,dihydroxycholesterol isomer,C27H46O3,,,,,,Bile acids 
CJ1478,dihydroxyeicosanoic acid  isomer,C20H40O4,,,,,,
CJ1479,dihydroxyphenylglycol sulfate isomer,C8H10O7S,,,,,,
CJ1480,"1,25-dihydroxyvitamin d3-26,23-lactone",C27H40O5,,,,HMDB0000969,,
CJ1481,diketo-metribuzin isomer,C7H12N4O2,,,,,,
CJ1482,dimethoxy-sulphobenzoic acid isomer,C9H10O7S,,,,,,
CJ1483,dimethyl phosphate isomer,C2H6O4S,,,,,,
CJ1484,"n,n-dimethylformamide",C3H7NO,,,,HMDB0001888,,
CJ1485,dimethylnonanoyl carnitine isomer,C18H35NO4,,,,,,carnitine
CJ1486,dimp,C10H13N4O7P,,,,HMDB0006555,,"Nucleosides, nucleotides, and analogues  "
CJ1487,di-n-pentyl phthalate  isomer,C18H26O4,,,,,,
CJ1488,dioctyl phosphate isomer,C22H50NO7P,,,,,,
CJ1489,"4,7-dioxoheptanoic acid",C7H10O4,,,,HMDB0246616,,FA
CJ1490,dityrosine,C18H20N2O6,,,,HMDB0006045,,
CJ1491,dl-lanthionine,C6H12N2O4S,,,,HMDB0251521,,Amino acids related and peptides
CJ1492,docosanamide,C22H45NO,,,,HMDB0000583,,FA
CJ1493,(2e)-dodecenoyl-coa,C33H56N7O17P3S,,,,HMDB0003712,,CoAs  
CJ1494,dolichyl diphosphate,C12H26O7P2,,,,HMDB0001513,,
CJ1495,donepezil metabolite m4,C17H23NO3,,,,HMDB0013960,,
CJ1496,doxazosin,C23H25N5O5,,,,HMDB0014728,,
CJ1497,doxycycline,C22H24N2O8,,,,HMDB0014399,,
CJ1498,d-pantethine,C22H42N4O8S2,,,,HMDB0003828,,Amino acids related and peptides
CJ1499,dracunculin,C11H8O5,,,,HMDB0030789,,
CJ1500,dtdp,C10H16N2O11P2,,,,HMDB0001274,,"Nucleosides, nucleotides, and analogues  "
CJ1501,thymidine 5'-triphosphate,C10H17N2O14P3,,,,HMDB0001342,,"Nucleosides, nucleotides, and analogues  "
CJ1502,encelin,C15H16O3,,,,HMDB0034723,,
CJ1503,endoxifen o-glucuronide isomer,C31H37NO8,,,,,,
CJ1504,enilconazole,C14H14Cl2N2O,,,,HMDB0031794,,
CJ1505,enterodiol,C18H22O4,,,,HMDB0005056,,
CJ1506,ephedrine,C10H15NO,,,,HMDB0015451,,
CJ1507,equol 7-o-glucuronide,C21H22O9,,,,HMDB0041732,,
CJ1508,equol,C15H14O3,,,,HMDB0002209,,
CJ1509,equol sulfate isomer,C15H14O6S,,,,,,
CJ1510,eremopetasinorol,C13H20O2,,,,HMDB0029668,,
CJ1511,erinacine b,C25H36O6,,,,HMDB0040390,,
CJ1512,esculentic acid  isomer,C30H46O6,,,,,,
CJ1513,estrone sulfate,C18H22O5S,,,,HMDB0001425,,
CJ1514,ethyl 2-(methylthio)-4-{[(5-nitro-2-furyl)carbonyl]amino}-1-(2-thienylmethyl)-1h-imidazole-5-carboxylate isomer,C17H16N4O6S2,,,,,,
CJ1515,ethyl 2-[2-(2-thienylcarbonyl)hydrazino]-4-(trifluoromethyl)pyrimidine-5-carboxylate isomer,C13H11F3N4O3S,,,,,,
CJ1516,"ethyl 2-[5-(4-chlorophenyl)-1,3,4-oxadiazol-2-yl]acetate isomer",C12H11ClN2O3,,,,,,
CJ1517,"ethyl 2-amino-8h-indeno[2,1-b]thiophene-3-carboxylate isomer",C14H13NO2S,,,,,,
CJ1518,ethyl 2-cyano-3-[(2-oxoazepan-3-yl)amino]acrylate isomer,C12H17N3O3,,,,,,
CJ1519,ethyl glucuronide,C8H14O7,,,,HMDB0010325,,
CJ1520,ethyl serine  isomer,C5H11NO3,,,,,,Amino acids related and peptides
CJ1521,ethylmethylmaleimide  isomer,C7H9NO2,,,,,,
CJ1522,etiprednol  isomer,C22H30O5,,,,,,
