Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
FetalStomach_Fetal stromal cell	Fetal	Digestive system	FetalStomach	Fetal stromal cell	Stromal cell	CL:0000499	Stomach	UBERON:0000945	0.108219561177175	0.299559383017218	0.338745387453875	0.333642531314032	0.476718592513816	NA
Fetal_HCA_Heart_SATB2_LRRC7 positive cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	SATB2_LRRC7 positive cells	Neuron	CL:0000540	Heart	UBERON:0000948	0.107937197650154	0.302482516084044	0.335793357933579	0.333865011854995	0.476429091441243	NA
AdultSpleen_CB CD34+	Adult	Lymphatic system	AdultSpleen	CB CD34+	Hematopoietic stem cell	CL:0000037	Spleen	UBERON:0002106	0.136877913683967	0.288690268515219	0.353505535055351	0.33496617244614	0.474999049266934	NA
AdultStomach_Fetal endocrine cell	Adult	Digestive system	AdultStomach	Fetal endocrine cell	Endocrine cell	CL:0000163	Stomach	UBERON:0000945	0.116566704695164	0.297459667715696	0.343173431734317	0.335026984580725	0.474920211522761	NA
VentoTormo_2018_decidua_placental extravillous trophoblast cell (EVT)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	placental extravillous trophoblast cell (EVT)	Trophoblast cell	CL:0000351	Decidua	UBERON:0002450	0.0234717432395333	0.437934738476381	0.233579335793358	0.335511118540765	0.474293083122738	NA
AdultJeJunum_B cell (Plasmocyte)	Adult	Digestive system	AdultJeJunum	B cell (Plasmocyte)	B cell	CL:0000236	Jejunum	UBERON:0002115	0.177087937061395	0.264646469768372	0.387453874538745	0.336071215584516	0.473568683151303	NA
TS_Vasculature_vein or capillary endothelial cell	Adult	Cardiovascular system	TS_Vasculature	vein or capillary endothelial cell	Capillary endothelial cell	CL:0002144	Vasculature	UBERON:0002049	0.00886619861566964	0.572934081097802	0.180073800738007	0.337508930628246	0.471714731066281	NA
AdultTransverseColon_Enterocyte progenitor	Adult	Digestive system	AdultTransverseColon	Enterocyte progenitor	Enterocyte	CL:0000584	Transverse colon	UBERON:0001157	0.112056774481571	0.304170522502915	0.339483394833948	0.337714277729365	0.471450578073503	NA
Lake_2017_FrontalCortex_In8	Adult	Nervous system	Lake_2017_FrontalCortex	In8	Inhibitory neuron	CL:0008029	Frontal cortex	UBERON:0001870	0.104250093318644	0.30828761132943	0.335055350553506	0.337788227444159	0.471355490481805	NA
TS_Lymph_Node_cd8-positive alpha-beta t cell	Adult	Lymphatic system	TS_Lymph_Node	cd8-positive alpha-beta t cell	T cell	CL:0000084	Lymph node	UBERON:0000029	0.0100349448065264	0.532874806815813	0.195940959409594	0.34032158864348	0.46811050012151	NA
TS_Lung_basophil	Adult	Respiratory system	TS_Lung	basophil	Basophil	CL:0000767	Lung	UBERON:0002048	0.0443430006284689	0.397998976859187	0.262361623616236	0.340338888384754	0.468088423969217	NA
TS_Salivary_Gland_memory b cell	Adult	Digestive system	TS_Salivary_Gland	memory b cell	B cell	CL:0000236	Saliva-secreting gland	UBERON:0001044	0.00944492759882166	0.56531746676875	0.184870848708487	0.340544588702449	0.467826016322021	NA
TS_Thymus_dn4 thymocyte	Adult	Lymphatic system	TS_Thymus	dn4 thymocyte	Thymocyte	CL:0000893	Thymus	UBERON:0002370	0.0100125777342918	0.559471200635099	0.187453874538745	0.341366768513571	0.466778759008153	NA
TS_Salivary_Gland_endothelial cell	Adult	Digestive system	TS_Salivary_Gland	endothelial cell	Endothelial cell	CL:0000115	Saliva-secreting gland	UBERON:0001044	0.00944492759882166	0.568322941612105	0.184870848708487	0.341797973595617	0.466230516392492	NA
TS_Spleen_cd8-positive, alpha-beta memory t cell	Adult	Lymphatic system	TS_Spleen	cd8-positive, alpha-beta memory t cell	T cell	CL:0000084	Spleen	UBERON:0002106	0.010020053073363	0.550372434328501	0.191143911439114	0.342099801452501	0.465847177870208	NA
TS_Liver_monocyte	Adult	Digestive system	TS_Liver	monocyte	Monocyte	CL:0000576	Liver	UBERON:0002107	0.0100208392064652	0.549343162121872	0.193726937269373	0.344845051322634	0.462376001946153	NA
TS_Spleen_cd8-positive, alpha-beta t cell	Adult	Lymphatic system	TS_Spleen	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Spleen	UBERON:0002106	0.010020053073363	0.560706327283053	0.191143911439114	0.346529439898634	0.460259863382909	NA
