V1
AdultOmentum_T cell	ANP32E;GINS2;MPZL3;NUDT1;SLC5A3
AdultPancreas_Pancreas exocrine cell	ABCB7;BCL6;CANX;COA3;HSPA5;MCFD2;MIB1;SERPINA3;SUCO
AdultPancreas_Enterocyte progenitor	ALDH3A2;CSTB;GC;PPP1R15A;SERPINA1;SERPINA3;TSC22D1
AdultPancreas_Macrophage	CSGALNACT2;CSTB;GLRX;MEF2C
AdultPancreas_Fetal endocrine cell	CUTA;F10;GC;GLRX;HAGHL;MAP1LC3A;SERPINA1;TMEM37;TMX2;TTR
AdultPancreas_Stromal cell	GLRX;MAP1LC3A;NME1;PPP1R15A;SCX
AdultPeripheralBlood_Monocyte	CSTB;FUCA2;GLRX;HEBP1;MSRA;PPP1R15A;SCARB2;SERPINA1
AdultPeripheralBlood_Neutrophil	ANP32E;BCL6;CAB39;CANX;CSGALNACT2;LPGAT1;MAP1LC3A;MSRA;PKP2;RNF103;SUCO;TP53INP2
AdultPeripheralBlood_T cell	CCDC34;CUTA;EIF5B;GINS2;NUCKS1;RIC3
AdultPeripheralBlood_B cell	MCFD2;MEF2C;RIC3;RNGTT;TMEM19
AdultPeripheralBlood_Dendritic cell	C19orf33;CSTB;MOB1B;NUDT1;SOCS6
AdultPeripheralBlood_B cell (Plasmocyte)	CUTA;HSPA5;MEF2C;NME1;PIGK;RPN1;TMEM19
AdultPeripheralBlood_Antigen presenting cell (RPS high)	CSTB;GLRX;MEF2C;RHOQ;SERPINA1
AdultPleura_Mesothelial cell	ALDH3A2;C19orf33;CANX;CUTA;FAM83H;MSI2;NME1;PKP2;PRDX6;SUCO;TMEM37
AdultPleura_Fibroblast	AUTS2;F10;NFIB;PPIC;RHOQ;SCARB2;SERPINA3
AdultPleura_Stromal cell	GTF2A1;LBP;PAQR7;PPP1R15A;PRDX6;ZDHHC21
AdultPleura_Neutrophil	ANP32E;CSGALNACT2;GLRX;MSRA;SERPINA1
AdultPleura_Monocyte	ARL5B;CELA1;CSGALNACT2;CSTB;GLRX;PPP1R15A;SERPINA1
AdultPleura_Dendritic cell	ARL5B;MEF2C;MOB1B;OTUB2;PPP1R15A;PTGES2;RAB3A
AdultPleura_Macrophage	ARL5B;CAB39;CSGALNACT2;CSTB;MEF2C;PPP1R15A;SERPINA1
AdultPleura_T cell	ANP32E;CCDC34;FAM169A;G3BP2;GINS2;GNB3;RNF103
AdultProstate_Gastric endocrine cell	ALDH3A2;COA3;COPZ1;CUTA;FOLH1;HSPA5;NUDT4;PRDX6;SERPINA3;TSC22D1
AdultProstate_Basal cell	C19orf33;ITGB6
AdultProstate_Endothelial cell (APC)	MCFD2;MEF2C;NR3C2;PIK3R3;PPIC;PPP1R15A
AdultProstate_Dendritic cell	CSGALNACT2;CSTB;SERPINA1
AdultRectum_Enterocyte progenitor	C19orf33;CCDC34;DDAH1;DDC;FAM83H;MAP1LC3A;NFIB;PKP2;PPIC
AdultRectum_B cell (Plasmocyte)	ATF5;COPZ1;CUTA;CYB5R1;DCTN3;FUCA2;GLRX;HSPA5;MEF2C;NME1;PAQR7;PIGK;RIC3;RPN1
AdultRectum_Epithelial cell	CAB39;CSTB;ITGB6;MOB1B;PKP2;PPIC;PRDX6;TMEM37;TSC22D1
AdultRectum_T cell	ANP32E;CDC5L;PPP1R15A
AdultRectum_B cell	ANP32E;MEF2C;PPP1R15A;RIC3;TMEM182
AdultRectum_Enterocyte	CANX;DDC;HEBP1;OSTM1;RHOQ
AdultRectum_Dendritic cell	ARL5B;CCDC34;DCTN3;PPP1R15A;SERPINA1
AdultRectum_Stromal cell	ATG7;CSGALNACT2;F10;NFIB;SERPINA3;SLC4A7
AdultSigmoidColon_B cell (Plasmocyte)	COPZ1;CUTA;HSPA5;MEF2C;MIB1;MSRA;NME1;NSUN4;OSTM1;PPP1R15A;RIC3;RPN1
AdultSigmoidColon_Enterocyte	CAB39;COX10;DDAH1;DDC;HEBP1;PSPH;SERPINA1;SETD6;SUCO
AdultSigmoidColon_Enterocyte progenitor	C19orf33;DDAH1;PKP2;TTC13
AdultSigmoidColon_Epithelial cell	C19orf33;FAM83H;GLRX;LPGAT1;PRDX6;TMEM37;TP53INP2
AdultSigmoidColon_Dendritic cell	ARL5B;CSTB;MEF2C;PPP1R15A;SERPINA1
AdultSigmoidColon_Stromal cell	CSTB;DERA;F10;HOXA10;HSPA5;NFIB;SCARB2;SERPINA3
AdultSigmoidColon_T cell	AUTS2;EIF5B;G3BP2;MPZL3;PPHLN1;RC3H2
AdultSigmoidColon_B cell	ANP32E;GINS2;MEF2C;NSUN4;RHOQ;RIC3;TMEM182
AdultSigmoidColon_Mast cell	G3BP2;HSPA5;MCFD2;MSI2;PDE12;PPP1R15A;RNGTT;SETD6
AdultSigmoidColon_Smooth muscle cell	ARL2BP;F10;MAP1LC3A;MAP3K7;SNCG;TSC22D1
AdultSpleen_B cell (Plasmocyte)	ATF5;CANX;COA3;COPZ1;CUTA;EIF5B;FUCA2;GLRX;HSPA5;NME1;PIGK;PSPH;RPN1;TMEM19;TMX2
AdultSpleen_CB CD34+	AUTS2;GINS2;HOXA10;MOB1B;NPR3;PBX3;PKP2;SOCS6;TSC22D1
AdultSpleen_B cell	AUTS2;MEF2C;RIC3
AdultSpleen_Neutrophil	BCL6;CAB39;CSGALNACT2;GLRX;LPGAT1;MAP1LC3A;MPZL3;SERPINA1
AdultSpleen_Macrophage	CSTB;RHOQ;SCARB2;SERPINA1;TMEM37
AdultSpleen_T cell	G3BP2;HOXA10;LYRM7
AdultSpleen_Erythroid progenitor cell (RP high)	HEBP1;HOXA10;PDE12;TSC22D1
AdultSpleen_Dendritic cell	CSTB;G3BP2;PKP2
AdultSpleen_Endothelial cell (APC)	EPHA7;FOLH1;HEBP1;NFIB;NPR3;PIK3R3;PPIC;PPP1R15A;SERPINA3;SNCG;TSC22D1
AdultStomach_Gastric chief cell	COA3;DDAH1;PAQR7;SCARB2;SERPINA1;TTC13
AdultStomach_Goblet cell	ALDH3A2;C19orf33;CANX;CSTB;DDAH1;ITGB6;NFIB;NUCKS1
AdultStomach_Stromal cell	GLRX;NME1;NUDT4;PPP1R15A
AdultStomach_B cell (Plasmocyte)	CUTA;HSPA5;MEF2C;PPP1R15A;RNGTT;RPN1;TMEM19
AdultStomach_T cell	ANP32E;AUTS2;CDC5L;G3BP2;MPZL3;SCX
AdultStomach_Smooth muscle cell	NUDT4;PDE12;PIK3R3;PPP1R15A;RHOQ;SCX;SNCG;TSC22D1
AdultStomach_Fibroblast	ANP32E;C3orf70;F10;GLRX;HEBP1;SLC4A7;TP53INP2
AdultStomach_Fetal stromal cell	ATG7;C3orf70;PPIC;PPP1R15A;SNCG
AdultStomach_Fetal endocrine cell	CCDC34;CUTA;DCTN3;F10;GC;MAP1LC3A;MSI2;RIC3;SERPINA1;TTR
AdultStomach_Macrophage	ARL5B;CSGALNACT2;CSTB;MEF2C;PPP1R15A;SLC5A3
AdultStomach_Mast cell	ARL2BP;CSGALNACT2;PPP1R15A;RAB3A;RC3H2;SUCO
AdultStomach_Endothelial cell	ANKRD40;ANP32E;ARL5B;CSTB;LYRM7;MEF2C;NME1;TSC22D1
